# Constraints from 2102.02207
# m_s [GeV]    sin^2 (2 theta)
1.206239e-5    1.753290e-12
1.210146e-5    1.624169e-12
1.214488e-5    1.470422e-12
1.218829e-5    1.383133e-12
1.223605e-5    1.281272e-12
1.227512e-5    1.177867e-12
1.231853e-5    1.082808e-12
1.235326e-5    1.010767e-12
1.239233e-5    9.654229e-13
1.243575e-5    9.654229e-13
1.248350e-5    1.058241e-12
1.251823e-5    1.168891e-12
1.255731e-5    1.301025e-12
1.259204e-5    1.426109e-12
1.262243e-5    1.539485e-12
1.266584e-5    1.661874e-12
1.270491e-5    1.713512e-12
1.271359e-5    2.927151e-12
1.275267e-5    2.904845e-12
1.279608e-5    2.763938e-12
1.279615e-5    1.545384e-4
1.286115e-5    1.545384e-4
1.286120e-5    1.807769e-12
1.288291e-5    1.713512e-12
1.290027e-5    1.649209e-12
1.290461e-5    1.448096e-12
1.292632e-5    1.415242e-12
1.299578e-5    1.437061e-12
1.302617e-5    1.372592e-12
1.305222e-5    1.301025e-12
1.312168e-5    1.539485e-12
1.327146e-5    2.502297e-12
1.328231e-5    2.222511e-12
1.328236e-5    1.545384e-4
1.339514e-5    1.545384e-4
1.339519e-5    1.835639e-12
1.340387e-5    2.344767e-12
1.345597e-5    1.849736e-12
1.349938e-5    1.383133e-12
1.353845e-5    9.954206e-13
1.356450e-5    7.557973e-13
1.359272e-5    5.155756e-13
1.360357e-5    4.357151e-13
1.361443e-5    3.626339e-13
1.368606e-5    3.626339e-13
1.375118e-5    3.710524e-13
1.381196e-5    3.869970e-13
1.385971e-5    4.036269e-13
1.388576e-5    4.161684e-13
1.390747e-5    6.054242e-13
1.399429e-5    6.738627e-13
1.399429e-5    8.221483e-13
1.400732e-5    2.417624e-12
1.404639e-5    2.436189e-12
1.408546e-5    2.291569e-12
1.411585e-5    2.090575e-12
1.411590e-5    1.539485e-4
1.421350e-5    1.545384e-4
1.421353e-5    1.346592e-12
1.424175e-5    1.196027e-12
1.427648e-5    1.091123e-12
1.431990e-5    1.030284e-12
1.436331e-5    1.026350e-12
1.450657e-5    1.095305e-12
1.453262e-5    1.091123e-12
1.460643e-5    1.233190e-12
1.464550e-5    1.151144e-12
1.468023e-5    1.074556e-12
1.471062e-5    1.042174e-12
1.474101e-5    1.058241e-12
1.478008e-5    1.138010e-12
1.480396e-5    1.242660e-12
1.482783e-5    1.383133e-12
1.485171e-5    1.599509e-12
1.487342e-5    1.849736e-12
1.490598e-5    2.256776e-12
1.490600e-5    1.539485e-4
1.500145e-5    1.539485e-4
1.500149e-5    3.233215e-12
1.502320e-5    3.233215e-12
1.505793e-5    3.111883e-12
1.508832e-5    2.904845e-12
1.512739e-5    2.609824e-12
1.517514e-5    2.256776e-12
1.522724e-5    1.878253e-12
1.527065e-5    1.611792e-12
1.531407e-5    1.326146e-12
1.534663e-5    1.107945e-12
1.538353e-5    8.348235e-13
1.540089e-5    7.109307e-13
1.542260e-5    5.916884e-13
1.553113e-5    6.242360e-13
1.561796e-5    6.585741e-13
1.568742e-5    6.842518e-13
1.573084e-5    7.001365e-13
1.576991e-5    9.803071e-13
1.578944e-5    1.107945e-12
1.582200e-5    1.271508e-12
1.584805e-5    1.362132e-12
1.588278e-5    1.415242e-12
1.591534e-5    1.539485e-12
1.596961e-5    1.674635e-12
1.599566e-5    1.726670e-12
