# Constraints from 0710.4922
# m_s [GeV]    sin^2 (2 theta)
7.191610e-4    1.130228e-20
7.340708e-4    1.037819e-20
7.458806e-4    9.131759e-21
7.596104e-4    7.966783e-21
7.700733e-4    6.717283e-21
7.860386e-4    5.860332e-21
8.023348e-4    5.156503e-21
8.189689e-4    4.537204e-21
8.302495e-4    4.310836e-21
8.359479e-4    5.200675e-21
8.388118e-4    6.012231e-21
8.445689e-4    7.191664e-21
8.532789e-4    8.676162e-21
8.562021e-4    1.003006e-20
8.650320e-4    1.241410e-20
8.709692e-4    1.472328e-20
8.769470e-4    1.746199e-20
8.849814e-4    1.398871e-20
8.910555e-4    1.159523e-20
8.971713e-4    9.776652e-21
9.033290e-4    7.966783e-21
9.095290e-4    6.491960e-21
9.157715e-4    5.290158e-21
9.220569e-4    4.385008e-21
9.283854e-4    3.697269e-21
9.390297e-4    3.337548e-21
9.584977e-4    3.090917e-21
9.783694e-4    2.814091e-21
9.986531e-4    2.455086e-21
1.015877e-3    2.105651e-21
1.033398e-3    1.805951e-21
1.051221e-3    1.589055e-21
1.062062e-3    1.374558e-21
1.076691e-3    1.178916e-21
1.094013e-3    1.011119e-21
1.114151e-3    9.049911e-22
1.137250e-3    8.973045e-22
1.160828e-3    9.049911e-22
1.184894e-3    8.746342e-22
1.209459e-3    7.565725e-22
1.234534e-3    6.488886e-22
1.260129e-3    5.807806e-22
1.286254e-3    5.332949e-22
1.312920e-3    4.981174e-22
1.340140e-3    5.287654e-22
1.367924e-3    6.165146e-22
1.396284e-3    7.127205e-22
1.420366e-3    7.006649e-22
1.435014e-3    6.060863e-22
1.459764e-3    5.287654e-22
1.484941e-3    4.535056e-22
1.505394e-3    3.695519e-22
1.529613e-3    3.115919e-22
1.550682e-3    2.672426e-22
1.568462e-3    2.292057e-22
1.597333e-3    2.292057e-22
1.623031e-3    2.718408e-22
1.656680e-3    3.335968e-22
1.691026e-3    3.511144e-22
1.726085e-3    2.861156e-22
1.755855e-3    2.485523e-22
1.786139e-3    2.177703e-22
1.823169e-3    2.051480e-22
1.860967e-3    1.965826e-22
1.899549e-3    1.789764e-22
1.938931e-3    1.548175e-22
1.979129e-3    1.327821e-22
2.013263e-3    1.168349e-22
2.047986e-3    9.767397e-23
2.090445e-3    8.377192e-23
2.133785e-3    7.626923e-23
2.178023e-3    9.123114e-23
2.208023e-3    1.054676e-22
2.250719e-3    1.198632e-22
2.279640e-3    1.028030e-22
2.308407e-3    8.817090e-23
2.308407e-3    7.758152e-23
2.337537e-3    6.710925e-23
2.356266e-3    5.634311e-23
2.380565e-3    4.770938e-23
2.429920e-3    4.270175e-23
2.480297e-3    4.057130e-23
2.531719e-3    3.725412e-23
2.572449e-3    3.114444e-23
2.607883e-3    2.671161e-23
2.643804e-3    2.290972e-23
2.680220e-3    1.964895e-23
2.729556e-3    1.773723e-23
2.786145e-3    1.601151e-23
2.843908e-3    1.457750e-23
2.902868e-3    1.508346e-23
2.963051e-3    1.614867e-23
3.024481e-3    1.670916e-23
3.087185e-3    1.670916e-23
3.151189e-3    1.670916e-23
3.205538e-3    1.649673e-23
3.238597e-3    1.396885e-23
3.275728e-3    1.138292e-23
3.313285e-3    9.597636e-24
3.351273e-3    7.955473e-24
3.397434e-3    6.524349e-24
3.467870e-3    6.538277e-24
3.539766e-3    6.650775e-24
3.613153e-3    6.594286e-24
3.688061e-3    5.560047e-24
3.764523e-3    4.768679e-24
3.842569e-3    4.195958e-24
3.922234e-3    4.195958e-24
4.003550e-3    4.195958e-24
4.086552e-3    4.055209e-24
4.157034e-3    3.463225e-24
4.228731e-3    3.008548e-24
4.301664e-3    2.647220e-24
4.346027e-3    2.289887e-24
4.405889e-3    1.898086e-24
4.466577e-3    1.600393e-24
4.528100e-3    1.326564e-24
4.621977e-3    1.228537e-24
4.717800e-3    1.282066e-24
4.815610e-3    1.315297e-24
4.915448e-3    1.384365e-24
5.017356e-3    1.482130e-24
5.121376e-3    1.573322e-24
5.227553e-3    1.396224e-24
5.335931e-3    1.197498e-24
5.446557e-3    9.758151e-25
5.521578e-3    8.227696e-25
5.597633e-3    6.819931e-25
5.674735e-3    5.750302e-25
5.752899e-3    4.766422e-25
5.872169e-3    4.229898e-25
5.993912e-3    3.818355e-25
6.118178e-3    3.476380e-25
6.245021e-3    3.192145e-25
6.374493e-3    2.981583e-25
6.506650e-3    2.784910e-25
6.641547e-3    2.832827e-25
6.779240e-3    2.906253e-25
6.919788e-3    2.857094e-25
7.063250e-3    2.557210e-25
7.209686e-3    2.269363e-25
7.359159e-3    2.101666e-25
7.511730e-3    2.101666e-25
7.667464e-3    2.156141e-25
7.826426e-3    2.083816e-25
7.988685e-3    1.913439e-25
8.154307e-3    1.772044e-25
8.285495e-3    1.519827e-25
8.380491e-3    1.276006e-25
8.495924e-3    1.080477e-25
8.612948e-3    8.804573e-26
8.731584e-3    7.487269e-26
8.912608e-3    6.875097e-26
9.097385e-3    6.421598e-26
9.285993e-3    5.947068e-26
9.478512e-3    5.144308e-26
9.675021e-3    4.526474e-26
9.875605e-3    4.016960e-26
1.008035e-2    3.915472e-26
1.028933e-2    3.784132e-26
1.050265e-2    3.657197e-26
1.072040e-2    3.595336e-26
1.094265e-2    3.415959e-26
1.116952e-2    3.217966e-26
1.140109e-2    2.831486e-26
1.163745e-2    2.512765e-26
1.187872e-2    2.210981e-26
1.212499e-2    1.896289e-26
1.237637e-2    1.654372e-26
1.263296e-2    1.756161e-26
1.289487e-2    1.978914e-26
1.316221e-2    2.268289e-26
1.329795e-2    2.611091e-26
1.340449e-2    3.083607e-26
1.352730e-2    3.415959e-26
1.362014e-2    4.060019e-26
1.376060e-2    4.825513e-26
1.387085e-2    5.698763e-26
1.399794e-2    6.476607e-26
