m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
2.9999999999999997e-5,1.0e-8,1.345609699546748e-10,0.11999873482175338,true,true,Success,1,1,4
2.9999999999999997e-5,1.778e-8,1.3455941851124537e-10,0.11999878617819856,true,true,Success,1,1,0
2.9999999999999997e-5,3.162e-8,1.345578664751954e-10,0.12000192491593067,true,true,Success,1,1,0
2.9999999999999997e-5,5.623e-8,1.345563146053458e-10,0.1200150921995164,true,true,Success,1,1,0
2.9999999999999997e-5,1.0e-7,1.3455476259387733e-10,0.1200598086114662,true,true,Success,1,1,0
2.9999999999999997e-5,1.778e-7,1.3455321122201726e-10,0.12020504600748752,true,true,Success,1,1,0
2.9999999999999997e-5,3.162e-7,1.3455165925756398e-10,0.12066722345941715,true,true,Success,1,1,0
2.9999999999999997e-5,5.623e-7,1.3222405819939433e-10,0.11999536935093702,true,true,Success,1,1,0
2.9999999999999997e-5,1.0e-6,1.275405122148419e-10,0.11997711313183344,true,true,Success,1,1,0
2.9999999999999997e-5,1.778e-6,1.1518912656188339e-10,0.11972051394353644,true,true,Success,1,1,0
2.9999999999999997e-5,3.162e-6,9.125303483628001e-11,0.11997592982257858,true,true,Success,1,1,0
2.9999999999999997e-5,5.623e-6,5.944458121743676e-11,0.11983675372945539,true,true,Success,1,1,0
2.9999999999999997e-5,1.0e-5,3.213981882212743e-11,0.11957835455052841,true,true,Success,1,1,0
2.9999999999999997e-5,1.778e-5,1.5160209028377203e-11,0.11961771141647065,true,true,Success,1,1,0
2.9999999999999997e-5,3.162e-5,6.51924108497562e-12,0.11964648302433392,true,true,Success,1,1,0
2.9999999999999997e-5,5.623e-5,2.631934001333026e-12,0.11976167303394777,true,true,Success,1,1,0
2.9999999999999997e-5,0.0001,1.0119892851374169e-12,0.11980663943977775,true,true,Success,1,1,0
2.9999999999999997e-5,0.0001778,3.695906522905744e-13,0.11971455263609668,true,true,Success,1,1,0
2.9999999999999997e-5,0.0003162,1.2163874389181402e-13,0.12233850016151022,true,true,Success,1,1,0
2.9999999999999997e-5,0.0005623,2.9000707324045583e-14,0.12007925470875147,true,true,Success,1,1,0
2.9999999999999997e-5,0.001,6.704240432288372e-15,0.11993444974038023,true,true,Success,1,1,0
2.9999999999999997e-5,0.001778,2.00035265843089e-15,0.11980951956681836,true,true,Success,1,1,0
2.9999999999999997e-5,0.003162,6.229362797440838e-16,0.1197706112169172,true,true,Success,1,1,0
2.9999999999999997e-5,0.005623,1.9806352004887355e-16,0.11991098495021327,true,true,Success,1,1,0
2.9999999999999997e-5,0.01,6.356158525158382e-17,0.11996510339493897,true,true,Success,1,1,0
2.9999999999999997e-5,0.01778,2.0519575870277613e-17,0.11997865478691973,true,true,Success,1,1,0
2.9999999999999997e-5,0.03162,6.657750823223458e-18,0.11999902628749651,true,true,Success,1,1,0
2.9999999999999997e-5,0.05623,2.1724562600327145e-18,0.12001903757764718,true,true,Success,1,1,0
2.9999999999999997e-5,0.1,7.11383768885634e-19,0.11997372597170256,true,true,Success,1,1,0
2.9999999999999997e-5,0.1778,2.3356634813824844e-19,0.12097484715551657,true,true,Success,1,1,0
