m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
9.487e-5,1.0e-6,1.5561398166188364e-11,0.11980055669858856,true,true,Success,1,1,3
9.487e-5,1.778e-6,1.55019271513492e-11,0.11991246055893787,true,true,Success,1,1,0
9.487e-5,3.162e-6,1.528416650287892e-11,0.11999372972637078,true,true,Success,1,1,0
9.487e-5,5.623e-6,1.4615780767112906e-11,0.11994408396938995,true,true,Success,1,1,0
9.487e-5,1.0e-5,1.2928329639141532e-11,0.11961244640314267,true,true,Success,1,1,0
9.487e-5,1.778e-5,9.899013616132736e-12,0.11995024305711731,true,true,Success,1,1,0
9.487e-5,3.162e-5,6.203706427229424e-12,0.11976097383400225,true,true,Success,1,1,0
9.487e-5,5.623e-5,3.2496558557295587e-12,0.1196286894743951,true,true,Success,1,1,0
9.487e-5,0.0001,1.4810630490591544e-12,0.11950371143217331,true,true,Success,1,1,0
9.487e-5,0.0001778,5.905923218685765e-13,0.11919379705367725,true,true,Success,1,1,0
9.487e-5,0.0003162,1.842202873833418e-13,0.11997676961632064,true,true,Success,1,1,0
9.487e-5,0.0005623,4.130494086301473e-14,0.1202290554529219,true,true,Success,1,1,0
9.487e-5,0.001,1.2761531459761233e-14,0.11999043229532473,true,true,Success,1,1,0
9.487e-5,0.001778,4.271725692688995e-15,0.11998922368640452,true,true,Success,1,1,0
9.487e-5,0.003162,1.415891082537494e-15,0.11998133927610588,true,true,Success,1,1,0
9.487e-5,0.005623,4.662921322173096e-16,0.11998702216008797,true,true,Success,1,1,0
9.487e-5,0.01,1.530454023957909e-16,0.11884674056602057,true,true,Success,1,1,0
9.487e-5,0.01778,5.03381671885438e-17,0.12018321188990135,true,true,Success,1,1,0
9.487e-5,0.03162,1.6527801933960948e-17,0.11949017871833245,true,true,Success,1,1,0
9.487e-5,0.05623,5.437998238451655e-18,0.1205940561324448,true,true,Success,1,1,0
9.487e-5,0.1,1.7890126030011034e-18,0.11893478852007483,true,true,Success,1,1,0
9.487e-5,0.1778,5.91506261380171e-19,0.12001156237441313,true,true,Success,1,1,0
