m_N,y,sin2_2theta,omega_h2_scan,omega_h2,converged,retcode,lambda_fs_Mpc,lambda_fs_eq_Mpc,lambda_fs_free_Mpc,v_end,x_kd,lambda_fs_kd_Mpc,r_s_Mpc,x_kd3,lambda_fs_kd3_Mpc,r_s3_Mpc,x_kd_old,lambda_fs_kd_old_Mpc,r_s_old_Mpc
6.0e-7,0.0001778,2.0684526644592763e-14,0.11996851950671648,0.11996851950671648,true,Success,3.2697082677175406,1.6951299124123882,1.5745783553051524,0.03418648835585602,142.09689795772533,1.4266903459187132,1.1967655309059173,83.13568637599644,1.6571725127188968,1.0129564662968007,3675.479547941989,0.3465084034573736,2.070253424048709
6.0e-7,0.0003162,6.763140045405561e-15,0.11958416949163297,0.11958416949163297,true,Success,3.250357925362588,1.68395949112558,1.5663984342370083,0.034009170973958176,424.30584059826424,0.9844758254025773,1.5415478383348569,252.69741848702816,1.184673936390935,1.3796572507564857,9474.995439392324,0.1812009247185471,2.191293517348578
6.0e-7,0.0005623,2.132204738428142e-15,0.11994348937715965,0.11994348937715965,true,Success,3.3065390604849103,1.702699609059977,1.6038394514249332,0.03482074927542753,1220.4775384747988,0.6404868573434688,1.869878513521874,747.0836600842267,0.8013378194758426,1.7397694581917864,24358.833379938256,0.07604255243596497,2.326457820884836
6.0e-7,0.001,6.241288964746369e-16,0.11981396877372678,0.11981396877372678,true,Success,3.7616386695630823,1.8850967523557098,1.8765419172073727,0.0407289241271737,3504.4281810180714,0.42490572464737053,2.410212749069832,2201.383347640002,0.5539951418199921,2.3057870711508426,65455.53868087682,0.004367486243260742,2.7504043852067332
6.0e-7,0.001778,1.4589081983109427e-16,0.1146248994559915,0.1146248994559915,true,Success,4.44354476928573,2.1439861522350743,2.299558617050656,0.04988187156273763,9676.981456359508,0.2615885638134835,3.099656220384791,6168.508354365197,0.3628079213910096,3.01777224494228,175442.01919937972,0.0,3.3584344772789945
6.0e-7,0.003162,3.0620278087676166e-17,0.12037343839467145,0.12037343839467145,true,Success,5.431909485968116,2.496136533689589,2.9357729522785267,0.06361465608037069,27675.0495671612,0.11821681406870549,4.0299262403636895,17762.229034499418,0.19644248491467084,3.966642203318574,Inf,0.0,4.202368588432373
6.0e-7,0.005623,8.2851724444134e-18,0.12058397516119022,0.12054062305623776,false,Success,6.5393646457094485,2.863776435223912,3.675588210485536,0.07952128127570035,76383.41906227324,0.0,5.007155502695592,49148.566280740844,0.04859249391070609,4.959096945907083,Inf,0.0,5.09449567745814
6.0e-7,0.01,2.4183351390288135e-18,0.12059709868621131,0.12062346892372265,false,Success,7.873673410447821,3.269002496405119,4.604670914042702,0.09937893854463803,210079.156337915,0.0,6.141877567282183,135306.5558782797,0.0,6.105509005199719,Inf,0.0,6.153968530101452
6.0e-7,0.01778,7.520919719074775e-19,0.12026393833606543,0.12021145331679123,false,Success,9.45946289680447,3.699960476740207,5.759502420064262,0.12383533332977263,Inf,0.0,7.400936497015781,Inf,0.0,7.400936497015781,Inf,0.0,7.400936497015781
6.0e-7,0.03162,2.379463641487568e-19,0.11829551631296856,0.118288479849957,false,Success,11.299613530175145,4.133039103958394,7.1665744262167514,0.15322062591699745,Inf,0.0,8.834308160145733,Inf,0.0,8.834308160145733,Inf,0.0,8.834308160145733
7.788000000000001e-7,5.623e-8,2.630916838212876e-8,0.11998060468710886,0.11998060468710886,true,Success,2.0659124838889906,1.0841837533739478,0.9817287305150427,0.02583236467655589,4.0,1.725397232523093,0.12847425440097135,4.0,1.725397232523093,0.12847425440097135,4.0,1.725397232523093,0.12847425440097135
7.788000000000001e-7,1.0e-7,1.272839132526321e-8,0.11938332460543333,0.11938332460543333,true,Success,2.1215271193586087,1.1067045924333558,1.0148225269252529,0.026702326026386922,4.0,1.7647895588742206,0.12472529938138932,4.0,1.7647895588742206,0.12472529938138932,4.0,1.7647895588742206,0.12472529938138932
7.788000000000001e-7,1.778e-7,5.552368818222935e-9,0.11959688412659858,0.11959688412659858,true,Success,2.195000933115684,1.1378486811800694,1.057152251935615,0.027814957143056138,4.0,1.821006942702611,0.11445109730168868,4.0,1.821006942702611,0.11445109730168868,4.0,1.821006942702611,0.11445109730168868
7.788000000000001e-7,3.162e-7,2.2591755371040577e-9,0.11981128390230944,0.11981128390230944,true,Success,2.264969721769737,1.1673761475381712,1.0975935742315657,0.028877819107776096,4.0,1.8744329739566763,0.09674556331997901,4.0,1.8744329739566763,0.09674556331997901,4.0,1.8744329739566763,0.09674556331997901
7.788000000000001e-7,5.623e-7,8.776601100977464e-10,0.11986830683542302,0.11986830683542302,true,Success,2.3236408915270954,1.192163839571136,1.1314770519559592,0.02976822701723715,4.0,1.917738633068022,0.08252869341941294,4.0,1.917738633068022,0.08252869341941294,4.0,1.917738633068022,0.08252869341941294
7.788000000000001e-7,1.0e-6,3.300313894544125e-10,0.11992572390027004,0.11992572390027004,true,Success,2.373257443928,1.2129285011170405,1.1603289428109593,0.030526335512693934,4.0,1.9520389155553586,0.07193005163054762,4.0,1.9520389155553586,0.07193005163054762,4.0,1.9520389155553586,0.07193005163054762
7.788000000000001e-7,1.778e-6,1.2120106677333068e-10,0.11984091641252577,0.11984091641252577,true,Success,2.4129981438402033,1.229775546560603,1.1832225972796,0.0311278346986012,4.0,1.9803390018203937,0.06322520659441866,4.0,1.9803390018203937,0.06322520659441866,4.0,1.9803390018203937,0.06322520659441866
7.788000000000001e-7,3.162e-6,4.3694699144177004e-11,0.11997616555193075,0.11997616555193075,true,Success,2.4491459853944746,1.2447860267388164,1.2043599586556588,0.03168314843293462,4.0,2.0035392608292453,0.05630412449644354,4.0,2.0035392608292453,0.05630412449644354,4.0,2.0035392608292453,0.05630412449644354
7.788000000000001e-7,5.623e-6,1.5525610417598467e-11,0.11989445026198275,0.11989445026198275,true,Success,2.4802601648865474,1.2576587084234143,1.2226014564631333,0.03216235058469952,4.0,2.0232142535578252,0.050676634254147576,4.0,2.0232142535578252,0.050676634254147576,4.749653675036848,2.062006987761757,0.07912595080642891
7.788000000000001e-7,1.0e-5,5.452077149360351e-12,0.11975002753487504,0.11975002753487504,true,Success,2.5068467856596217,1.26877985292208,1.238066932737542,0.032568603076413134,4.0,2.0398313301168405,0.045629322194364955,4.0,2.0398313301168405,0.045629322194364955,13.09373936457286,1.8823345284472313,0.2972610893718963
7.788000000000001e-7,1.778e-5,1.8975805584037414e-12,0.12020748407568199,0.12020748407568199,true,Success,2.531134669876126,1.2788705465834562,1.2522641232926695,0.032941520272294154,4.0,2.054364081493081,0.041290316117440704,4.0,2.054364081493081,0.041290316117440704,40.47359676846785,1.549377626266671,0.5860204776969536
7.788000000000001e-7,3.162e-5,6.547313288263366e-13,0.12003001896266523,0.12003001896266523,true,Success,2.5529617211693454,1.2878868658994134,1.2650748552699322,0.03327800315460803,4.0,2.067313795395351,0.03662117680132993,4.0,2.067313795395351,0.03662117680132993,126.10004642359839,1.1911095974538473,0.8856672850077746
