m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
7.536e-5,1.0e-6,2.4038413749542494e-11,0.11957368830679946,true,true,Success,1,1,2
7.536e-5,1.778e-6,2.3873635015887234e-11,0.11983484611137796,true,true,Success,1,1,0
7.536e-5,3.162e-6,2.3246735376592133e-11,0.11997980357882664,true,true,Success,1,1,0
7.536e-5,5.623e-6,2.144606578999427e-11,0.11982281015997258,true,true,Success,1,1,0
7.536e-5,1.0e-5,1.754677789306671e-11,0.1190406417698146,true,true,Success,1,1,0
7.536e-5,1.778e-5,1.2071813115434537e-11,0.11987876504882303,true,true,Success,1,1,0
7.536e-5,3.162e-5,6.803344252803126e-12,0.11963647149854588,true,true,Success,1,1,0
7.536e-5,5.623e-5,3.296605358824802e-12,0.11956158232535166,true,true,Success,1,1,0
7.536e-5,0.0001,1.4283008303322487e-12,0.11955191404425979,true,true,Success,1,1,0
7.536e-5,0.0001778,5.546641408617307e-13,0.11933408466141893,true,true,Success,1,1,0
7.536e-5,0.0003162,1.7449782669193367e-13,0.12003656432067897,true,true,Success,1,1,0
7.536e-5,0.0005623,3.936428639946303e-14,0.12014762114203727,true,true,Success,1,1,0
7.536e-5,0.001,1.1420444892487017e-14,0.11994918012474634,true,true,Success,1,1,0
7.536e-5,0.001778,3.7193312352105574e-15,0.11997562209205136,true,true,Success,1,1,0
7.536e-5,0.003162,1.2142745616076225e-15,0.11955799428121261,true,true,Success,1,1,0
7.536e-5,0.005623,3.9647461781078183e-16,0.1194768905333186,true,true,Success,1,1,0
7.536e-5,0.01,1.2943863194419132e-16,0.1191334490587995,true,true,Success,1,1,0
7.536e-5,0.01778,4.2374199746256425e-17,0.12052774936299482,true,true,Success,1,1,0
7.536e-5,0.03162,1.38659063907932e-17,0.12019352507715571,true,true,Success,1,1,0
7.536e-5,0.05623,4.548745221354938e-18,0.1208338446057639,true,true,Success,1,1,0
7.536e-5,0.1,1.4958155949464665e-18,0.12076350709709162,true,true,Success,1,1,0
7.536e-5,0.1778,4.936208791327982e-19,0.1208536020220839,true,true,Success,1,1,0
