m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
1.312e-6,1.0e-8,NaN,NaN,false,false,NoRoot,0,0,12
1.312e-6,1.778e-8,NaN,NaN,false,false,NoRoot,0,0,10
1.312e-6,3.162e-8,2.665046324465043e-8,0.11999511228035839,true,true,Success,1,1,8
1.312e-6,5.623e-8,1.9555613136322755e-8,0.11927841719375439,true,true,Success,1,1,0
1.312e-6,1.0e-7,1.1804198761855898e-8,0.11971589791381597,true,true,Success,1,1,0
1.312e-6,1.778e-7,5.970401506703588e-9,0.1195001305973665,true,true,Success,1,1,0
1.312e-6,3.162e-7,2.67731825811088e-9,0.11956419994285848,true,true,Success,1,1,0
1.312e-6,5.623e-7,1.1105162224674902e-9,0.11978553735209396,true,true,Success,1,1,0
1.312e-6,1.0e-6,4.3711148365451427e-10,0.11982284720801865,true,true,Success,1,1,0
1.312e-6,1.778e-6,1.6600517112454738e-10,0.11985119550774531,true,true,Success,1,1,0
1.312e-6,3.162e-6,6.13865674086148e-11,0.11985733975174075,true,true,Success,1,1,0
1.312e-6,5.623e-6,2.2253838290502105e-11,0.11982580900211852,true,true,Success,1,1,0
1.312e-6,1.0e-5,7.942735373271411e-12,0.11985870535433019,true,true,Success,1,1,0
1.312e-6,1.778e-5,2.800947185855009e-12,0.11995761730678389,true,true,Success,1,1,0
1.312e-6,3.162e-5,9.771799592650972e-13,0.11999767361718915,true,true,Success,1,1,0
1.312e-6,5.623e-5,3.3797412234942396e-13,0.1200521521951269,true,true,Success,1,1,0
1.312e-6,0.0001,1.1590504329212158e-13,0.11998361373479476,true,true,Success,1,1,0
1.312e-6,0.0001778,3.930348692862854e-14,0.11994162958954183,true,true,Success,1,1,0
1.312e-6,0.0003162,1.2979291516168498e-14,0.11940166024754605,true,true,Success,1,1,0
1.312e-6,0.0005623,4.057209370498468e-15,0.12235059956682229,true,true,Success,1,1,0
1.312e-6,0.001,1.0918273487823975e-15,0.11999163793857164,true,true,Success,1,1,0
1.312e-6,0.001778,2.2110452366172245e-16,0.12062475276556016,true,true,Success,1,1,0
1.312e-6,0.003162,5.3806667620899505e-17,0.1209000709657454,true,true,Success,1,1,0
1.312e-6,0.005623,1.5026865042975637e-17,0.11993876104010437,true,true,Success,1,1,0
1.312e-6,0.01,4.615278306210175e-18,0.12016957029117212,true,true,Success,1,1,0
1.312e-6,0.01778,1.4536366204461193e-18,0.1184643535615951,true,true,Success,1,1,0
1.312e-6,0.03162,4.65265239695879e-19,0.12068571957954669,true,true,Success,1,1,0
1.312e-6,0.05623,1.4975268387999396e-19,0.12008511947631136,true,true,Success,1,1,0
