m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
2.6739999999999997e-6,1.0e-6,5.819325853369428e-10,0.11949765566094668,true,true,Success,1,1,0
2.6739999999999997e-6,1.0e-5,1.2875706745307823e-11,0.120018077648435,true,true,Success,1,1,0
2.6739999999999997e-6,0.0001,2.0211065795116964e-13,0.11965936340004982,true,true,Success,1,1,0
2.6739999999999997e-6,0.001,1.6833422721916822e-15,0.12084642103411701,true,true,Success,1,1,0
2.6739999999999997e-6,0.01,8.377866562049199e-18,0.12004262506679393,true,true,Success,1,1,0
