m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
9.999999999999999e-5,1.0e-6,1.4077449731216117e-11,0.11984887573039006,true,true,Success,1,1,0
9.999999999999999e-5,1.0e-5,1.198542241226112e-11,0.12000135560273273,true,true,Success,1,1,0
9.999999999999999e-5,0.0001,1.4893745083905844e-12,0.11994032936582937,true,true,Success,1,1,0
9.999999999999999e-5,0.001,1.3061508121444343e-14,0.11988555546987077,true,true,Success,1,1,0
9.999999999999999e-5,0.01,1.5907524224898254e-16,0.1199843528844348,true,true,Success,1,1,0
