x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
3.6217056811464627e-5,2.6060693855963612e-5,8.680407961760891e-20,0.5815532657024995,1.3063899037621665e-12,1.9043784135440682e-12,-24.295415691207698,-48.590831382415395,6.531949518535586e-13,6.531949518535586e-13,2.752764811728362e-23,1.8621833942861605e-33,3.3821894987594293e-45,1.8621833942827784e-33
3.621709302853952e-5,2.6060725182533148e-5,8.68038869858717e-20,0.5815512260304572,1.3063899468270428e-12,1.9043784135440682e-12,-24.295415559348523,-48.59083111869705,6.531949733859956e-13,6.531949733859956e-13,2.752765265450016e-23,1.862174721794214e-33,3.382182399353178e-45,1.862174721790832e-33
3.621928220472579e-5,2.6062618761167475e-5,8.67922443253379e-20,0.5814279531483703,1.3063925499493706e-12,1.904378413544082e-12,-24.29540758892665,-48.5908151778533,6.531962749471557e-13,6.531962749471557e-13,2.752792691461827e-23,1.861650596235819e-33,3.381753310437746e-45,1.861650596232437e-33
3.624118124588314e-5,2.608156233619941e-5,8.667590357256127e-20,0.5801966605894814,1.3064185924629486e-12,1.9043784135442375e-12,-24.29532785101275,-48.5906557020255,6.532092962039422e-13,6.532092962039422e-13,2.7530670825655615e-23,1.856417503745671e-33,3.377465492020377e-45,1.8564175037422938e-33
3.646090121750305e-5,2.6271780484828703e-5,8.552103458142284e-20,0.5680261607519181,1.3066801506478744e-12,1.90437841354578e-12,-24.294527090802333,-48.589054181604666,6.533400752963794e-13,6.533400752963794e-13,2.755824145357647e-23,1.804894006409387e-33,3.334892719874655e-45,1.8048940064060522e-33
3.8524567700713905e-5,2.8084336826041407e-5,7.563885961958597e-20,0.46764418694303034,1.309160905285265e-12,1.9043784135609624e-12,-24.28694022211831,-48.57388044423662,6.54580452467671e-13,6.54580452467671e-13,2.782083559274413e-23,1.3944952825154435e-33,2.970051317566526e-45,1.3944952825124735e-33
4.2533553987825314e-5,3.1751797943973525e-5,6.045463614577591e-20,0.3272847487201329,1.3141166548076702e-12,1.90437841359473e-12,-24.271827055414285,-48.54365411082857,6.570583240832395e-13,6.570583240832395e-13,2.835140749987853e-23,8.694963051493088e-34,2.4072687972756763e-45,8.694963051469015e-34
4.7790576662754543e-5,3.690509652206218e-5,4.6099823281239776e-20,0.21169838929376383,1.3209383167168598e-12,1.9043784136489505e-12,-24.251116522749403,-48.502233045498805,6.604691486040046e-13,6.604691486040046e-13,2.9094956244947215e-23,4.8944384453888785e-34,1.8723586795099403e-45,4.894438445370155e-34
5.5665302136123185e-5,4.563848720660937e-5,3.1640685268513403e-20,0.1148209372168949,1.3321770389774346e-12,1.9043784137588052e-12,-24.21722816507311,-48.43445633014622,6.660883603437537e-13,6.660883603437537e-13,3.03539030993364e-23,2.1934581927487807e-34,1.3321875681310084e-45,2.193458192735459e-34
6.48375909705393e-5,5.823009758867655e-5,2.0666950551336068e-20,0.057240957809038005,1.3477421880527922e-12,1.904378413955775e-12,-24.170762778899377,-48.341525557798754,6.738711561081351e-13,6.738711561081351e-13,3.216912338111363e-23,8.863997695918227e-35,9.24913815336669e-46,8.863997695825735e-35
8.143565257030103e-5,8.476834936807101e-5,1.0691190421043268e-20,0.0198960589817105,1.3794726280853286e-12,1.9043784145218894e-12,-24.077677066661487,-48.15535413332297,6.897388442215443e-13,6.897388442215443e-13,3.613879377946562e-23,2.287109384842917e-35,5.403146036185177e-46,2.2871093847888854e-35
9.70052296371656e-5,0.00010797927399089115,6.942123798353226e-21,0.010207364733352724,1.406701514831334e-12,1.9043784151738806e-12,-23.99949396995201,-47.99898793990402,7.033517437797198e-13,7.033517437797198e-13,3.984887098648884e-23,9.898100626728867e-36,3.798823303308194e-46,9.898100626348984e-36
0.00011949674000362897,0.0001404876212126903,4.373348715516671e-21,0.005025401719745567,1.445169079166533e-12,1.9043784163233143e-12,-23.891578825823522,-47.783157651647045,7.225857642067175e-13,7.225857642067175e-13,4.560367069864401e-23,4.164461235446953e-36,2.6099549047271663e-46,4.164461235185958e-36
0.0001511044051144167,0.00018883893499495525,2.6469287481009717e-21,0.002330845548057712,1.5036717749349048e-12,1.9043784185088285e-12,-23.73284308606391,-47.46568617212782,7.518380349414173e-13,7.518380349414173e-13,5.561254102790123e-23,1.6946742832650964e-36,1.7754557378728153e-46,1.694674283087551e-36
0.00019491574762568184,0.0002644380153700469,1.5437418811559028e-21,0.0010214947681811387,1.599409273381774e-12,1.9043784229384275e-12,-23.485946902354616,-46.97189380470923,7.997058053910614e-13,7.997058053910614e-13,7.571890519963407e-23,6.9414007621322026e-37,1.2341073126679486e-46,6.941400760898095e-37
0.0002755040660415339,0.00044799719054390623,7.3805913211001505e-22,0.0003298815392698986,1.8590238445437035e-12,1.9043784375574316e-12,-22.88418025198932,-45.76836050397864,9.296042493398859e-13,9.296042493398859e-13,1.6066306158994952e-22,2.6303913889767604e-37,8.973396133345955e-47,2.630391388079421e-37
0.00033323634333924765,0.0006517287682947646,4.906464727010751e-22,0.00017656048484474433,2.1957777666116718e-12,1.9043784570583426e-12,-22.218224231503896,-44.43644846300779,1.098016323110157e-12,1.098016323110157e-12,3.693581037377343e-22,2.1182774952307645e-37,9.392221099990045e-47,2.1182774942915424e-37
0.0003703387614249757,0.0008679069513537663,3.910945648674744e-22,0.00012483718896768916,2.6050223995461e-12,1.9043784778437584e-12,-21.534619470932647,-43.069238941865294,1.3026424991474757e-12,1.3026424991474757e-12,8.680598444482835e-22,2.5415962939245613e-37,1.1819248095465178e-46,2.5415962927426363e-37
0.0003952233435294422,0.0011262759204533652,3.4017336188795646e-22,0.00010089420952936436,3.1488875310958636e-12,1.9043784998422597e-12,-20.77612778805125,-41.5522555761025,1.574696206881911e-12,1.574696206881911e-12,2.240421149542654e-21,3.9368681814014505e-37,1.689096110164389e-46,3.936868179712354e-37
0.0004098505183535159,0.001417361161277911,3.146723178955793e-22,8.958258832077911e-5,3.808716237763214e-12,1.9043785198456207e-12,-20.015167577657415,-40.03033515531483,1.9046403043054537e-12,1.9046403043054537e-12,5.7999767278462106e-21,6.951316240244867e-37,2.544862424332157e-46,6.951316237700005e-37
0.0004178480751655309,0.001723425187615686,3.018994335540176e-22,8.409327287352369e-5,4.534572427932288e-12,1.9043785361178607e-12,-19.317457199618573,-38.63491439923715,2.26752070066079e-12,2.26752070066079e-12,1.3873171677159312e-20,1.2460483052917755e-36,3.78443554146284e-46,1.2460483049133319e-36
0.00042272710938323415,0.00207783763772182,2.9448964245070033e-22,8.096780873684218e-5,5.398492053622337e-12,1.904378550435223e-12,-18.619900041007483,-37.239800082014966,2.699527085839473e-12,2.699527085839473e-12,3.317849227646576e-20,2.3111762849874717e-36,5.672957920071697e-46,2.311176284420176e-36
0.0004256933142372815,0.002490222127690893,2.9012596489789602e-22,7.914974524446133e-5,6.421126012554264e-12,1.9043785628846196e-12,-17.92600479149232,-35.85200958298464,3.21089267611309e-12,3.21089267611309e-12,7.89857145593858e-20,4.358761524365997e-36,8.49834592213106e-46,4.3587615235161626e-36
0.0004276798421301992,0.0030427954589047675,2.8725622496202243e-22,7.796183132425487e-5,7.806502235218113e-12,1.9043785749878015e-12,-17.144485417558883,-34.288970835117766,3.903898185484893e-12,3.903898185484893e-12,2.0981138695920267e-19,9.027564899135335e-36,1.3360723606292025e-45,9.027564897799263e-36
0.00042871707146671477,0.0036225841665214796,2.857744374068866e-22,7.735087000267062e-5,9.269642891474013e-12,1.904378584163798e-12,-16.45739393899297,-32.91478787798594,4.635298991744261e-12,4.635298991744261e-12,4.952291066809039e-19,1.7234107729360646e-35,1.9797887169955237e-45,1.7234107727380857e-35
