x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
4.1413215098594486e-5,3.0166524047763733e-5,1.0056104662409915e-19,0.733347940241946,1.7868831934837024e-12,2.5459583956456684e-12,-23.913648837793904,-47.82729767558781,8.934415966865861e-13,8.934415966865861e-13,5.515586431125353e-23,4.90025034009193e-33,9.880460988991683e-45,4.90025034008205e-33
4.141325651183026e-5,3.016656015658727e-5,1.0056082546366585e-19,0.7333454009621514,1.7868832699362576e-12,2.5459583956456684e-12,-23.91364866665209,-47.82729733330418,8.934416349129747e-13,8.934416349129747e-13,5.515587611060306e-23,4.900227998053636e-33,9.88044069182671e-45,4.900227998043756e-33
4.141575107273957e-5,3.016873521792713e-5,1.0054750498475326e-19,0.733192466215804,1.7868878751637331e-12,2.545958395645696e-12,-23.913638357704325,-47.82727671540865,8.934439375267126e-13,8.934439375267126e-13,5.515658686397905e-23,4.898882437453813e-33,9.879218192096849e-45,4.898882437443934e-33
4.1440704947729825e-5,3.019049478512769e-5,1.0041439720215467e-19,0.7316648718042367,1.7869339474177483e-12,2.545958395645958e-12,-23.91353522496499,-47.82707044992998,8.934669736537044e-13,8.934669736537044e-13,5.516369788459596e-23,4.8854473298138654e-33,9.867001806036572e-45,4.885447329803998e-33
4.169107213253824e-5,3.040898415822884e-5,9.909298765321348e-20,0.7165631956629627,1.7873966749559199e-12,2.5459583956486536e-12,-23.912499556824347,-47.824999113648694,8.936983374227268e-13,8.936983374227268e-13,5.523515823484111e-23,4.753127881586471e-33,9.745696569675089e-45,4.753127881576725e-33
4.427946390449443e-5,3.269759143473613e-5,8.675899390724054e-20,0.5810759494517684,1.7922321502536082e-12,2.5459583956781405e-12,-23.901692898571365,-47.80338579714273,8.961160748750188e-13,8.961160748750188e-13,5.598635484269689e-23,3.6083088591704554e-33,8.61102798465621e-45,3.6083088591618444e-33
4.971425135340169e-5,3.772452107557104e-5,6.693658877149287e-20,0.38504756016049446,1.8027246376693106e-12,2.5459583957501844e-12,-23.87834349668729,-47.75668699337458,9.013623066661859e-13,9.013623066661859e-13,5.7644494269249e-23,2.1045782734570874e-33,6.777354101722616e-45,2.10457827345031e-33
5.6261977034008374e-5,4.4239361838772325e-5,5.035834793146069e-20,0.2441051031068491,1.8160815250658642e-12,2.5459583958581912e-12,-23.84881566187356,-47.69763132374712,9.080407315058058e-13,9.080407315058058e-13,5.981189275586045e-23,1.1622603604526195e-33,5.231390434044147e-45,1.162260360447388e-33
6.583675960471655e-5,5.4980817680539555e-5,3.442022248611584e-20,0.13173736038636522,1.837588992808431e-12,2.545958396071926e-12,-23.801723107233038,-47.603446214466075,9.187942002535328e-13,9.187942002535328e-13,6.343844034819844e-23,5.2382802145948e-34,3.734837666121854e-45,5.2382802145574515e-34
7.704099897927863e-5,7.05016461000372e-5,2.2474373993525635e-20,0.06561976387491818,1.8678629688685748e-12,2.5459583964586476e-12,-23.736362282778998,-47.472724565557996,9.339297200389535e-13,9.339297200389535e-13,6.883895870659208e-23,2.1527249740763005e-34,2.616363589763616e-45,2.152724974050137e-34
9.015199957228765e-5,9.274769287580596e-5,1.4086993399156625e-20,0.03081931265695658,1.910051007575122e-12,2.545958397165275e-12,-23.647019478689042,-47.294038957378085,9.55026500783557e-13,9.55026500783557e-13,7.697267930636858e-23,8.350030325702649e-35,1.8186492502458486e-45,8.350030325520784e-35
0.00010964350201864128,0.00012601520108402104,8.35674173456295e-21,0.013534671907374982,1.9726031139575323e-12,2.545958398543046e-12,-23.518130690196912,-47.036261380393825,9.862950720894193e-13,9.862950720894193e-13,9.042816744171676e-23,3.0673610729492574e-35,1.2241265714857639e-45,3.067361072826845e-35
0.00013334920569645593,0.00016424554233813364,5.337294840442622e-21,0.006820042166064508,2.045927050269482e-12,2.5459584005683164e-12,-23.372135853834884,-46.74427170766977,1.0229639339795366e-12,1.0229639339795366e-12,1.0853303166964465e-22,1.3818213113767173e-35,8.80202064763438e-46,1.381821311288697e-35
0.0001887991909722193,0.0002647026311178394,2.5266881471575126e-21,0.0021708857266288517,2.2513245660405107e-12,2.5459584078281902e-12,-22.989412749660183,-45.978825499320365,1.12572146335284e-12,1.12572146335284e-12,1.75124563700671e-22,4.165736875394682e-36,5.4853425418049275e-46,4.1657368748461476e-36
0.0002341239104593857,0.0003689106576820805,1.6020381630422976e-21,0.0010811395087025341,2.487039269883557e-12,2.545958417578712e-12,-22.59115186223445,-45.1823037244689,1.2435402264734226e-12,1.2435402264734226e-12,2.8809679468616692e-22,2.3515486069945674e-36,4.5849451601728796e-46,2.351548606536073e-36
0.00028776967688284866,0.0005472179282068721,1.0330154679276476e-21,0.000552119692019274,2.9487565325746198e-12,2.54595843697505e-12,-21.909881194303974,-43.81976238860795,1.4745621002877524e-12,1.4745621002877524e-12,6.751708036437264e-22,1.804059021667862e-36,4.703988565412743e-46,1.804059021197463e-36
0.00032075208790097995,0.0007289656425176884,8.192205539107367e-22,0.0003870406988963819,3.489475158907708e-12,2.545958457048601e-12,-21.236424652982453,-42.47284930596491,1.7449294681383422e-12,1.7449294681383422e-12,1.5667755695771723e-21,2.120196860425722e-36,5.853166243577228e-46,2.1201968598404054e-36
