x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
1.0581315797126106e-5,8.433803812948965e-6,1.870493999310658e-20,0.04866360027250874,5.987167711006855e-6,9.72940043768382e-6,-9.283810622486298,-18.567621244972596,2.9931666793445462e-6,2.9931666793445462e-6,4.171761588629454e-10,1.2733364651097036e-37,1.3194896896847167e-41,1.273204516140735e-37
1.0581326378447186e-5,8.433817474270287e-6,1.8704883805407276e-20,0.048663363793118954,5.987167711006855e-6,9.72940043768382e-6,-9.283810622486294,-18.56762124497259,2.993166679344566e-6,2.993166679344566e-6,4.171761588629493e-10,1.2733280405016328e-37,1.319486105270472e-41,1.2731960918911058e-37
1.0680932013891129e-5,8.562786087150678e-6,1.8185799771938506e-20,0.04649748196193768,5.987167711008993e-6,9.7294004376856e-6,-9.283810622483767,-18.567621244967533,2.9931666793456406e-6,2.9931666793456406e-6,4.17176158862954e-10,1.1967941069906753e-37,1.2863243453661348e-41,1.1966654745561386e-37
1.1730041666812886e-5,9.942214779512335e-6,1.3766937463719945e-20,0.029704708592937924,5.987167711031359e-6,9.729400437706253e-6,-9.283810622456043,-18.567621244912086,2.993166679356821e-6,2.993166679356821e-6,4.1717615886210073e-10,6.501707685978286e-38,9.997897750925098e-42,6.500707896203193e-38
1.792356255273336e-5,1.6988189857874933e-5,4.88521248806761e-21,0.0059543368638518435,5.987167711138723e-6,9.729400437859933e-6,-9.28381062228901,-18.56762124457802,2.9931666794114775e-6,2.9931666794114775e-6,4.17176158835504e-10,7.278744119001859e-39,3.756136140716663e-42,7.274987982861142e-39
4.101529611677099e-5,4.1811719630106756e-5,8.361688952159187e-22,0.0003993747746736749,5.987167711480681e-6,9.729400439047284e-6,-9.283810621330808,-18.567621242661616,2.9931666795845306e-6,2.9931666795845306e-6,4.171761584601676e-10,1.82826753576222e-40,6.579103818635431e-43,1.8216884319435845e-40
0.00022131708168133364,0.0002435802983686161,2.5322565977966252e-23,2.0199854987408513e-6,5.987167713817044e-6,9.729400484709346e-6,-9.283810591075124,-18.567621182150248,2.9931666794637293e-6,2.9931666794637293e-6,4.171761395372738e-10,1.5144339883200627e-43,2.0613151562011825e-44,1.3083024726999444e-43
0.0011942191153391157,0.0013165019334872652,8.684121374391409e-25,1.2794119590467452e-8,5.987167746387962e-6,9.729401882177772e-6,-9.283809743948336,-18.56761948789667,2.9931666969273574e-6,2.9931666969273574e-6,4.1717557887661015e-10,8.292004773548168e-46,7.065461528704982e-46,1.2265432448431863e-46
0.04050962276612388,0.044662708073006686,8.264519238109403e-28,3.2792090946682104e-13,5.988365743556752e-6,9.732112329800105e-6,-9.282350027256468,-18.564700054512937,2.9937772208598795e-6,2.9937772208598795e-6,4.1678859085589556e-10,6.068696392760158e-49,6.068252453881166e-49,4.439388789921556e-53
0.17150876792859773,0.19071992063811224,4.6130236717390943e-29,4.317844125241932e-15,6.043567390158168e-6,9.794262518339152e-6,-9.239769676003865,-18.47953935200773,3.021353760332363e-6,3.021353760332363e-6,4.2114120119020276e-10,3.0933849915922994e-50,3.0933773632289006e-50,7.628363398749972e-56
0.31673181134604456,0.36340297364331314,1.3526511264272813e-29,6.855685526754147e-16,6.3026711438840515e-6,1.0040714936193906e-5,-9.081393915621765,-18.16278783124353,3.1510037162322907e-6,3.1510037162322907e-6,4.658353078671228e-10,8.287568022797168e-51,8.287563638222544e-51,4.3845746238950956e-57
0.46378436556718505,0.5659018324772481,6.308816925803341e-30,2.1836228426368405e-16,6.924575668011722e-6,1.0633130319178818e-5,-8.761020566914462,-17.522041133828925,3.4617683608068997e-6,3.4617683608068997e-6,5.98278971960269e-10,3.738153715216878e-51,3.7381530270064957e-51,6.882103822940677e-58
0.5922387941223881,0.7807356017677171,3.8689757509855776e-30,1.0486616481460853e-16,7.912852123788418e-6,1.1625050094330327e-5,-8.335958553200856,-16.67191710640171,3.955628362674631e-6,3.955628362674631e-6,8.465556022808065e-10,2.3503711677659688e-51,2.3503709708077124e-51,1.9695825624440122e-58
0.6886994164444215,0.9723323821577358,2.861129232137542e-30,6.668632681762532e-17,9.043912127322245e-6,1.2828680222487517e-5,-7.931944384383137,-15.863888768766275,4.520798396394132e-6,4.520798396394132e-6,1.1743102539838378e-9,1.8206328140393405e-51,1.8206327282973792e-51,8.57419613403522e-59
0.7870430922207711,1.1958936474114783,2.1908226096258463e-30,4.468177393130099e-17,1.0661427606572555e-5,1.4654658143983704e-5,-7.459761373183703,-14.919522746367406,5.32903076856828e-6,5.32903076856828e-6,1.7053183272304182e-9,1.4845641390241742e-51,1.48456410070586e-51,3.831831417993935e-59
0.8994298735004403,1.480001798067491,1.677559762679256e-30,2.993808501565623e-17,1.3255441497078472e-5,1.779099985144102e-5,-6.876701659270065,-13.75340331854013,6.6250902917771035e-6,6.6250902917771035e-6,2.663439586082665e-9,1.2291763145038873e-51,1.2291762988760727e-51,1.562781456839921e-59
1.0427983218417562,1.860455848320635,1.2480232001557523e-30,1.920989409980856e-17,1.803844774253743e-5,2.4093240870832555e-5,-6.134644204571806,-12.269288409143613,9.014579773571683e-6,9.014579773571683e-6,4.62229376995518e-9,9.989702719277892e-52,9.989702667301281e-52,5.197661031232445e-60
1.2090195934941343,2.2777300522695603,9.284724461086007e-31,1.2326106734377944e-17,2.6098968739789995e-5,3.584087134101694e-5,-5.3684995904879385,-10.736999180975877,1.304112645655713e-5,1.304112645655713e-5,8.157958871123829e-9,7.93533986190913e-52,7.935339845516459e-52,1.639267144715974e-60
1.401736411381124,2.69265215325119,6.9074437263108905e-31,7.909096553988366e-18,3.919334807976389e-5,5.7121164802327815e-5,-4.651943181882011,-9.303886363764022,1.958232143603338e-5,1.958232143603338e-5,1.4071457674772491e-8,6.007301194534464e-52,6.007301189270084e-52,5.2643801192956584e-61
1.6251721457326112,3.0957851459283554,5.138874124847647e-31,5.074903994287659e-18,5.9222204303076975e-5,9.365753561600851e-5,-4.004684251694784,-8.009368503389569,2.9587968010578555e-5,2.9587968010578555e-5,2.2956556667839844e-8,4.235720700596461e-52,4.235720698900566e-52,1.695895089561443e-61
1.916565378793103,3.558314339351124,3.695227338343307e-31,3.09424733354726e-18,9.117016086065753e-5,0.00016021196287842383,-3.3372370637744755,-6.674474127548951,4.554970622627531e-5,4.554970622627531e-5,3.5520208333922844e-8,2.559834751926554e-52,2.559834751503686e-52,4.228676254928376e-62
2.355622858263066,4.224714324518003,2.4462995836562115e-31,1.6665128306119305e-18,0.00014287660396481263,0.0002892408504057385,-2.5176677771975653,-5.035335554395131,7.139370062237802e-5,7.139370062237802e-5,4.8160188969593926e-8,1.0886639466009445e-52,1.0886639465542637e-52,4.66807949715849e-63
2.7274478631607604,4.810167347754522,1.8248868987159404e-31,1.0736347726077698e-18,0.00018134303295009915,0.00040714416346630453,-1.895034609791436,-3.790069219582872,9.062481442059993e-5,9.062481442059993e-5,4.849158574425705e-8,4.909884840116777e-53,4.909884840058497e-53,5.8279656377475765e-64
3.1740136167600723,5.572142268934524,1.3476110674177867e-31,6.812391285781472e-19,0.00021541799009758552,0.0005390473122746901,-1.1507832875587267,-2.3015665751174534,0.00010767409841758651,0.00010767409841758651,3.9627720855838006e-8,1.7777220379041008e-53,1.7777220379006872e-53,3.413709751543694e-65
3.6275283226252215,6.4382945791333155,1.0317970945532042e-31,4.563452197169369e-19,0.0002369803342617223,0.0006530381486554984,-0.3345707062403456,-0.6691414124806911,0.00011846818316465231,0.00011846818316465231,2.74829836610211e-8,6.070810126058447e-54,6.070810126057633e-54,8.134345371429125e-67
4.088554584165753,7.437156151712963,8.122891695344867e-32,3.1872530176179146e-19,0.00024915570710447283,0.0007492271173116548,0.6058490306668478,1.2116980613336956,0.0001245675457906496,0.0001245675457906496,1.6862044802309694e-8,1.9811969873271902e-54,1.9811969873273044e-54,-1.1419654184262583e-67
4.608173141872348,8.726836348751574,6.39486502634599e-32,2.226073893053076e-19,0.000255876274249227,0.0008407831021736117,1.8361658950759185,3.672331790151837,0.0001279417237179243,0.0001279417237179243,8.726497365827926e-9,5.486425057520491e-55,5.486425057520706e-55,-2.1447290559123523e-68
5.112067567433222,10.155723868053292,5.196767737305304e-32,1.6305577515715303e-19,0.0002587332645691305,0.0009196819760295987,3.2195212525029238,6.4390425050058475,0.0001293730427609715,0.0001293730427609715,4.191807175578895e-9,1.5548437788229307e-55,1.5548437788229588e-55,-2.800567893338451e-69
5.671061830672538,11.9479748740945,4.223177416985073e-32,1.194353246541862e-19,0.0002600092220611894,0.0010018789713306428,4.9745202982264445,9.949040596452889,0.00013001829426432816,0.00013001829426432816,1.6809355021718723e-9,3.7915712310099566e-56,3.7915712310099815e-56,-2.4866733738714588e-70
6.291180987550801,14.184418757955013,3.432020610682846e-32,8.748415541554636e-20,0.0002604976971288797,0.0010908113065731572,7.181857336359409,14.363714672718817,0.00013026796133902498,0.00013026796133902498,5.418647896225303e-10,7.849108417122552e-57,7.849108417122567e-57,-1.42111047818262e-71
6.90068238665784,16.626573532736145,2.8528275709751027e-32,6.629027564261517e-20,0.0002606466610335944,0.001178019544962959,9.603603019537529,19.207206039075057,0.00013033628143595816,0.00013033628143595816,1.5833002929968378e-10,1.661232356582583e-57,1.6612323565825838e-57,-7.104574526766998e-73
7.569233423066453,19.570751366175642,2.371403966431064e-32,5.0230817499473295e-20,0.00026069377845758593,0.0012743380277414709,12.53114896142928,25.06229792285856,0.0001303599542237521,0.0001303599542237521,3.6073391943749034e-11,3.020050871864442e-58,3.0200508718644425e-58,-2.15457359557184e-74
8.302554936253888,23.111718367361902,1.9712439181945746e-32,3.806191786361216e-20,0.00026070653663652074,0.0013810158121449537,16.058194792084578,32.116389584169156,0.00013036447348290875,0.00013036447348290875,6.106946813537785e-12,4.649428629729297e-59,4.649428629729297e-59,-3.5996775985947525e-76
9.106922011342576,27.365693467790244,1.6386283318620917e-32,2.8841051441608105e-20,0.00026070944940668865,0.0014991760801626574,20.30027659129893,40.60055318259786,0.0001303615461990925,0.0001303615461990925,7.244641364360168e-13,5.949994603650325e-60,5.949994603650325e-60,-2.947146531159847e-78
9.989217675456494,32.47515183789793,1.362154371030013e-32,2.1854028775904424e-20,0.0002607099992931265,0.0016299343354430184,25.399462434069502,50.798924868139004,0.00013035393779704094,0.00013035393779704094,5.606661383725246e-14,6.185312545880631e-61,6.185312545880631e-61,-1.0250405161367934e-80
10.956991796281109,38.613064520767246,1.1323443789998873e-32,1.6559679687996457e-20,0.00026071008318845167,0.001774468077303847,31.52845622953583,63.05691245907166,0.00013034114283616243,0.00013034114283616243,2.5957045243051507e-15,5.093498900781592e-62,5.093498900781592e-62,-1.273815159182685e-83
12.018525686826134,45.9879801621549,9.41320830341265e-33,1.254793769061878e-20,0.00026071009328968765,0.001934053322173396,38.89559261762363,77.79118523524726,0.00013032134310847745,0.00013032134310847745,6.476348759571913e-17,3.242644962351003e-63,3.242644962351003e-63,-4.590836342848168e-87
13.18290296921874,54.85043429934701,7.825361639153073e-33,9.508078855038737e-21,0.0002607100942279838,0.002110085254154828,47.75120632702735,95.5024126540547,0.0001302917030045087,0.0001302917030045087,7.681958112016831e-19,1.5592358591419867e-64,1.5592358591419867e-64,-3.7345320742351113e-91
14.460087303913783,65.50086177910778,6.505482340320858e-33,7.204655118842665e-21,0.00026071009429374603,0.0023040935655252023,58.395527541765624,116.79105508353125,0.00013024784192568355,0.00013024784192568355,3.727152753006186e-21,5.525488607899783e-66,5.525488607899783e-66,-5.0770237938100355e-96
15.861007649455539,78.29891964155532,5.408336744137588e-33,5.459257981853748e-21,0.0002607100942971402,0.002517757102362205,71.18798819518916,142.37597639037833,0.00013018255691070061,0.00013018255691070061,6.178182688034999e-24,1.4031860034726996e-67,1.4031860034726996e-67,-8.050570691016777e-102
