x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
1.4882810420574869e-5,1.0977461873120201e-5,3.039402487868151e-20,0.10752066654774187,1.6089732846978018e-13,2.573459714846011e-13,-26.667972433889716,-53.33594486777943,8.044866423456238e-14,8.044866423456238e-14,3.1612353148495687e-25,2.6715867900349656e-36,2.824487649886398e-48,2.671586790032141e-36
1.4882825303392718e-5,1.097747805955527e-5,3.039394311004028e-20,0.10752019328106065,1.6089732964423844e-13,2.573459714846011e-13,-26.667972404691866,-53.33594480938373,8.044866482180275e-14,8.044866482180275e-14,3.161235430226491e-25,2.6715708474312384e-36,2.8244805475339494e-48,2.671570847428414e-36
1.4883743472222823e-5,1.0978476667887564e-5,3.038889912344635e-20,0.10749100088270942,1.6089740210272504e-13,2.573459714846011e-13,-26.66797060333267,-53.33594120666534,8.04487010510461e-14,8.04487010510461e-14,3.161242548385021e-25,2.6705875119561607e-36,2.82404242892084e-48,2.6705875119533366e-36
1.4892928276562104e-5,1.098846778312597e-5,3.0338505273340664e-20,0.10719951246975176,1.6089812719058752e-13,2.573459714846057e-13,-26.66795257728069,-53.33590515456138,8.044906359497817e-14,8.044906359497817e-14,3.1613137800896883e-25,2.6607740652811095e-36,2.819664986881987e-48,2.6607740652782898e-36
1.4985088636213215e-5,1.1088896137620086e-5,2.983909675155218e-20,0.10432740474998295,1.609054287257367e-13,2.5734597148465234e-13,-26.667771061941632,-53.335542123883265,8.045271436255226e-14,8.045271436255226e-14,3.1620311451378143e-25,2.564591920421486e-36,2.776259321960959e-48,2.5645919204187096e-36
1.5795824482264423e-5,1.1994280876487358e-5,2.585907209458098e-20,0.08254254112750341,1.609717773983882e-13,2.573459714850994e-13,-26.66612201883289,-53.33224403766578,8.048588869800971e-14,8.048588869800971e-14,3.168555774415612e-25,1.8669791377913626e-36,2.4296802302216107e-48,1.866979137788933e-36
1.7864566817550243e-5,1.4597584069225645e-5,1.805215466674666e-20,0.04594593726611209,1.6115592228280452e-13,2.5734597148657414e-13,-26.661548804182253,-53.323097608364506,8.057796110734234e-14,8.057796110734234e-14,3.1867207509816647e-25,8.440489425486317e-37,1.753293522870675e-48,8.440489425468784e-37
2.1414826514628296e-5,1.9299454017392346e-5,1.0726366402979641e-20,0.019999230206795345,1.614726710005983e-13,2.5734597148997434e-13,-26.65369456418741,-53.30738912837482,8.073633842369638e-14,8.073633842369638e-14,3.218161512205514e-25,2.7366491053557835e-37,1.0969830455503164e-48,2.7366491053448134e-37
2.4887696735449673e-5,2.3470586655070985e-5,7.366170365799482e-21,0.011174903096796985,1.6174149266118346e-13,2.573459714937613e-13,-26.647040880180523,-53.294081760361045,8.087074703254827e-14,8.087074703254827e-14,3.2450388477630764e-25,1.245280891585953e-37,7.750947296050637e-49,1.2452808915782019e-37
3.130187633539273e-5,3.054572366575945e-5,4.4220850101861685e-21,0.0051114135699431,1.6218611548804973e-13,2.5734597150186723e-13,-26.636060088810943,-53.272120177621886,8.109305758996e-14,8.109305758996e-14,3.2898872786686913e-25,4.328608499254805e-38,4.757700874905564e-49,4.3286084992072283e-38
