x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
1.0581315797126106e-5,8.434342530405675e-6,1.870493999310658e-20,0.04866360027250874,1.5593710871152675e-11,2.5340438868279777e-11,-22.141752587188314,-44.28350517437663,7.796855432744496e-12,7.796855432744496e-12,2.831194933613959e-21,8.640481734283552e-37,8.954409496602966e-47,8.640481733388111e-37
1.0581326378447186e-5,8.43435619343259e-6,1.8704883805407276e-20,0.048663363793118954,1.5593710872692682e-11,2.5340438868279777e-11,-22.1417525867932,-44.2835051735864,7.796855433515138e-12,7.796855433515138e-12,2.831194935012448e-21,8.640424567246399e-37,8.954385173582656e-47,8.640424566350961e-37
1.0589329530725784e-5,8.444692611106325e-6,1.8662450750017418e-20,0.04848489945096148,1.559371203745491e-11,2.5340438868280226e-11,-22.14175228801571,-44.28350457603142,7.796856015896218e-12,7.796856015896218e-12,2.831195992383576e-21,8.597310824432732e-37,8.936014251569258e-47,8.59731082353913e-37
1.066969473379411e-5,8.548743577682917e-6,1.824342087540043e-20,0.04673606488763018,1.55937237357698e-11,2.5340438868284006e-11,-22.141749287238493,-44.28349857447699,7.796861865053645e-12,7.796861865053645e-12,2.8312066121318277e-21,8.177874211768737e-37,8.754365864939945e-47,8.1778742108933e-37
1.1507667425926822e-5,9.648115854522888e-6,1.45648041020106e-20,0.03251184811848888,1.559384549201823e-11,2.534043886832623e-11,-22.141718055234094,-44.28343611046819,7.796922743178011e-12,7.796922743178011e-12,2.8313171445297514e-21,4.989139637248462e-37,7.14021207085612e-47,4.98913963653444e-37
1.454737783694844e-5,1.3360721140075732e-5,7.822668919234124e-21,0.012243687728551842,1.5594237550953164e-11,2.5340438868506463e-11,-22.14161748884973,-44.28323497769946,7.79711877262912e-12,7.79711877262912e-12,2.831673085709752e-21,1.3190768776670776e-37,4.016565696077973e-47,1.319076877265421e-37
2.2444790110718402e-5,2.175528083579905e-5,3.0095352914496974e-21,0.0028364685797255345,1.5595076785395875e-11,2.5340438869131524e-11,-22.14140222662188,-44.28280445324376,7.797538390141502e-12,7.797538390141502e-12,2.8324351274302342e-21,1.7965182905311792e-38,1.5836582513322976e-47,1.796518288947521e-38
3.873204148855174e-5,3.928722303340339e-5,9.450971192850688e-22,0.00048178557128870274,1.559670148257076e-11,2.5340438871394002e-11,-22.14098552730591,-44.28197105461182,7.798350738373596e-12,7.798350738373596e-12,2.8339108494997755e-21,1.5985424554120666e-39,5.0406936682061117e-48,1.598542450371373e-39
0.00012711928131576292,0.00013979316930146592,7.701275396071379e-23,1.0711001623785399e-5,1.5604845621400173e-11,2.5340438909698106e-11,-22.138897376164305,-44.27779475232861,7.802422846406281e-12,7.802422846406281e-12,2.8413174915237993e-21,8.775072157026833e-42,4.2566199700779546e-49,8.775071731364836e-42
0.0003224066411887637,0.00035548932611837206,1.1931720904774029e-23,6.532774851833525e-7,1.562029705592084e-11,2.5340439137393234e-11,-22.13493861180816,-44.26987722361632,7.810148522586714e-12,7.810148522586714e-12,2.8554120203639224e-21,1.895529298652041e-43,6.622390907356103e-50,1.8955286364129505e-43
