x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
5.823363977218687e-5,4.4178051707252564e-5,1.4557066365292394e-19,1.30843020065185,2.692272652577489e-6,3.6003124759709527e-6,-9.498285173027464,-18.996570346054927,1.345984941342304e-6,1.345984941342304e-6,1.513849464416884e-10,2.632707111264599e-32,6.895221913787135e-38,2.6327002160426853e-32
5.823369800585572e-5,4.4178101209659044e-5,1.4557034978762379e-19,1.30842580229389,2.6922726525776417e-6,3.6003124759709527e-6,-9.498285173027234,-18.99657034605447,1.345984941342377e-6,1.345984941342377e-6,1.5138494644173045e-10,2.632695020475126e-32,6.895207168147267e-38,2.6326881252679584e-32
5.823691078534396e-5,4.4180832290450935e-5,1.4555303522299357e-19,1.3081831724937982,2.6922726525861785e-6,3.600312475971023e-6,-9.498285173014429,-18.996570346028857,1.345984941346646e-6,1.345984941346646e-6,1.513849464441014e-10,2.6320280705221723e-32,6.894393715795765e-38,2.6320211761284565e-32
5.826904833061799e-5,4.4208152386007466e-5,1.4538000280576767e-19,1.3057593476988447,2.6922726526715116e-6,3.600312475971739e-6,-9.498285172886463,-18.996570345772927,1.345984941389288e-6,1.345984941389288e-6,1.5138494646779002e-10,2.625367851420387e-32,6.886264466352394e-38,2.6253609651559207e-32
5.859140081571466e-5,4.448228127197774e-5,1.4366096212455947e-19,1.2817669876653175,2.692272653527582e-6,3.60031247597903e-6,-9.49828517160273,-18.99657034320546,1.3459849418170884e-6,1.3459849418170884e-6,1.5138494670541404e-10,2.559685769994844e-32,6.805497606798286e-38,2.5596789644972373e-32
6.191465305247034e-5,4.7327723961572355e-5,1.275199142681461e-19,1.0642003174556394,2.6922726623702794e-6,3.600312476057432e-6,-9.498285158337536,-18.996570316675072,1.3459849462359763e-6,1.3459849462359763e-6,1.5138494915867687e-10,1.985216050782092e-32,6.046811081839979e-38,1.9852100039710101e-32
9.674125342232822e-5,8.038087377607234e-5,4.684032159518008e-20,0.21722615780271015,2.692272758929998e-6,3.6003124773271825e-6,-9.498285012802357,-18.996570025604715,1.3459849944902945e-6,1.3459849944902945e-6,1.513849757792587e-10,2.2605099643831813e-33,2.2491566684233093e-38,2.260487472816497e-33
0.00025736852400399385,0.00029986277878333635,3.880168420517507e-21,0.004184107850120577,2.692273288293047e-6,3.6003125033154162e-6,-9.498284186009704,-18.996568372019407,1.345985258410462e-6,1.345985258410462e-6,1.5138511404642307e-10,1.0063652434612956e-35,2.1272213923214078e-39,1.0061525213220634e-35
0.0006846981489771167,0.0008691103703731185,4.820444965364435e-22,0.00017184873709359135,2.692274353566775e-6,3.6003127053167034e-6,-9.498282271283813,-18.996564542567626,1.3459857927851172e-6,1.3459857927851172e-6,1.513853317936367e-10,1.2441089540373988e-37,2.7066905686164994e-40,1.2414022634687823e-37
0.002828268788904824,0.003782673500126535,2.5858064450174932e-23,2.0843859498553416e-6,2.6922786710779515e-6,3.6003167577820877e-6,-9.498269130664697,-18.996538261329395,1.3459878643030092e-6,1.3459878643030092e-6,1.5138486150921567e-10,2.898300793765289e-40,1.4869722614446274e-41,2.7496035676208266e-40
0.011682672655451413,0.015639179131945718,1.5141723677499547e-24,2.949619383184428e-8,2.6922989161205475e-6,3.6003904426689393e-6,-9.498127696134405,-18.99625539226881,1.3459980824604437e-6,1.3459980824604437e-6,1.5136174639218349e-10,1.5760958724265303e-42,8.691168418397755e-43,7.069790305867548e-43
0.08974676160977998,0.12049239273990901,2.638059576690563e-26,6.484666658598434e-11,2.695518607917373e-6,3.6065973386098186e-6,-9.487989908829162,-18.975979817658324,1.3475752870547624e-6,1.3475752870547624e-6,1.5036272275911936e-10,1.4105554436427623e-44,1.4000148551432444e-44,1.0540588499517922e-46
0.21109382800606089,0.2866355160343187,4.964001196164004e-27,4.9788844106648825e-12,2.72538545724964e-6,3.6443739192828185e-6,-9.427611747038519,-18.855223494077038,1.3625964260448608e-6,1.3625964260448608e-6,1.497741279356096e-10,2.253313321661664e-45,2.2512622657891638e-45,2.051055872500306e-48
0.2886862259059129,0.3970412630680635,2.68775409564228e-27,1.950556582335347e-12,2.770424543891246e-6,3.6947290735219793e-6,-9.353451099817763,-18.706902199635525,1.3850354449934861e-6,1.3850354449934861e-6,1.5224957362304507e-10,1.1177295027069665e-45,1.1172875691117569e-45,4.419335952096069e-49
