m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
9.999999999999999e-5,1.0e-6,1.4077449731216117e-11,0.11984883079668762,true,true,Success,1,1,0
9.999999999999999e-5,3.16e-6,1.3784169983546339e-11,0.11933793285083216,true,true,Success,1,1,0
9.999999999999999e-5,1.0e-5,1.1943103408895073e-11,0.11950026551139256,true,true,Success,1,1,0
9.999999999999999e-5,3.16e-5,6.004693199230905e-12,0.1188759068132052,true,true,Success,1,1,0
9.999999999999999e-5,0.0001,1.4868607093421805e-12,0.11924303325105788,true,true,Success,1,1,0
9.999999999999999e-5,0.000316,1.8641264784777513e-13,0.11996541659034181,true,true,Success,1,1,0
9.999999999999999e-5,0.001,1.3044955405606295e-14,0.11909460514777709,true,true,Success,1,1,0
9.999999999999999e-5,0.00316,1.4667493123684639e-15,0.11999957361606663,true,true,Success,1,1,0
9.999999999999999e-5,0.01,1.5903728480022506e-16,0.11970488308281864,true,true,Success,1,1,0
