m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
3.9999999999999996e-5,1.0e-6,7.716538777025861e-11,0.11951158357536992,true,true,Success,1,1,0
3.9999999999999996e-5,3.16e-6,6.417163526389216e-11,0.11921853705382439,true,true,Success,1,1,0
3.9999999999999996e-5,1.0e-5,2.949456405595186e-11,0.11925035550714491,true,true,Success,1,1,0
3.9999999999999996e-5,3.16e-5,6.970113214077536e-12,0.11940074240492958,true,true,Success,1,1,0
3.9999999999999996e-5,0.0001,1.1579816681496483e-12,0.12000192649973758,true,true,Success,1,1,0
3.9999999999999996e-5,0.000316,1.393566895135316e-13,0.11992715678958214,true,true,Success,1,1,0
3.9999999999999996e-5,0.001,7.983344782651469e-15,0.11997560276070002,true,true,Success,1,1,0
3.9999999999999996e-5,0.00316,7.741674915282094e-16,0.11905261801555037,true,true,Success,1,1,0
3.9999999999999996e-5,0.01,7.988441381331113e-17,0.11941102288896584,true,true,Success,1,1,0
