m_N,y,sin2_2theta,omega_h2_scan,omega_h2,converged,retcode,lambda_fs_Mpc,lambda_fs_eq_Mpc,lambda_fs_free_Mpc,v_end,x_kd,lambda_fs_kd_Mpc,r_s_Mpc,x_kd3,lambda_fs_kd3_Mpc,r_s3_Mpc,x_kd_old,lambda_fs_kd_old_Mpc,r_s_old_Mpc
1.5e-6,1.0e-6,4.659123241943875e-10,0.11974219118905272,0.11971523529699529,true,Success,1.284047156451273,0.6120084415688973,0.6720387148823755,0.029155719427012814,4.0,1.0732338802514947,0.04773906813938503,4.0,1.0732338802514947,0.04773906813938503,4.0,1.0732338802514947,0.04773906813938503
1.5e-6,3.16e-6,6.686844460261075e-11,0.12135235833988045,0.12140231508286459,true,Success,1.3417409721014175,0.6342874592069871,0.7074535128944303,0.030690180996436542,4.0,1.1148481526522243,0.03575089601604843,4.0,1.1148481526522243,0.03575089601604843,4.0,1.1148481526522243,0.03575089601604843
1.5e-6,1.0e-5,8.719082994775045e-12,0.1192460143257911,0.1192460143257911,true,Success,1.382938542546474,0.6499942062033912,0.7329443363430826,0.03179446703861488,4.0,1.141953151366684,0.02808885608101034,4.0,1.141953151366684,0.02808885608101034,7.212712847879154,1.146314494645797,0.08604462486381821
1.5e-6,3.16e-5,1.0820917563898156e-12,0.11971269356687578,0.11975335110583013,true,Success,1.4141019464342954,0.6619124302964591,0.7521895161378362,0.032628078476106465,4.0,1.1616812162018606,0.022611588525044975,4.0,1.1616812162018606,0.022611588525044975,65.86214808670107,0.8252097284306643,0.3708251649931123
1.5e-6,0.0001,1.2884992668339566e-13,0.11984819769285383,0.11983549679172742,true,Success,1.4386051870232046,0.6711459916956847,0.7674591953275199,0.03328942213056586,17.883043168970126,1.0602696045309141,0.19288575538467537,9.882707855187048,1.153840912468237,0.11531975627246382,633.0517507994406,0.4634685108637335,0.6759544335158231
1.5e-6,0.000316,1.4520259473386122e-14,0.12228538321473897,0.12228538321473897,true,Success,1.4431335967312577,0.6717031833531293,0.7714304133781285,0.033461409239615124,181.99334898487174,0.6697118608341049,0.5112749654067646,105.79356270974631,0.7620094584193275,0.4367883801931459,5149.453768274714,0.1886681266494123,0.900346265562267
1.5e-6,0.001,1.1913317491160814e-15,0.122234738669825,0.122234738669825,true,Success,1.3652439149108495,0.63606096643869,0.7291829484721596,0.03163153037131991,1599.2818858279236,0.31097873647135127,0.7514267345465284,961.9949535576455,0.3798950342000236,0.695677654484361,34017.63021260205,0.05006382665907886,0.9624940861293739
1.5e-6,0.00316,5.942522721293609e-17,0.12091177719605258,0.12091177719605258,true,Success,1.6693118957412174,0.7355587695009891,0.9337531262402282,0.04048754689610646,12959.639360146455,0.13225357251267153,1.1649080649686152,8196.722626138358,0.17576924607210237,1.1297046218446778,238562.85823343595,0.0,1.2778600164322678
1.5e-6,0.01,5.1615604287314604e-18,0.12037650294040567,0.12055753028804783,true,Success,2.4518970083983445,0.9877716924093034,1.4641253159890413,0.06337870944113495,100925.12707967024,0.025335734637535128,1.8680394348903635,64857.42673110562,0.0512507948883056,1.8470740558775367,Inf,0.0,1.9191432496367486
2.4999999999999998e-6,1.0e-6,5.699777031332564e-10,0.11949473675904208,0.11949473675904208,true,Success,0.7848434578144363,0.3561843881001502,0.4286590697142861,0.027817091123348663,4.0,0.6634310748193178,0.03591659948440703,4.0,0.6634310748193178,0.03591659948440703,4.0,0.6634310748193178,0.03591659948440703
2.4999999999999998e-6,3.16e-6,8.962233886359392e-11,0.11994144124937592,0.11994144124937592,true,Success,0.8312521977602003,0.3730661616525898,0.45818603610761044,0.029730874561086473,4.0,0.69838630497019,0.025386275624235784,4.0,0.69838630497019,0.025386275624235784,4.0,0.69838630497019,0.025386275624235784
2.4999999999999998e-6,1.0e-5,1.2337806063505825e-11,0.12122816858394783,0.12122816858394783,true,Success,0.8637634972920402,0.38479381269033797,0.47896968460170236,0.0310776864313563,4.0,0.7214093801724122,0.019486068758327063,4.0,0.7214093801724122,0.019486068758327063,4.624248597545506,0.7330947741991047,0.027015236084070485
2.4999999999999998e-6,3.16e-5,1.5772707677961124e-12,0.11938882910565907,0.11933366042680418,true,Success,0.8873872860872328,0.3932395491776556,0.49414773690957725,0.03206109653784137,4.0,0.7366188270337817,0.01553417337721031,4.0,0.7366188270337817,0.01553417337721031,39.34729276419888,0.589060345339293,0.18039173520981502
2.4999999999999998e-6,0.0001,1.9187475832313182e-13,0.11940260640576639,0.11938580877787423,true,Success,0.9057249717293446,0.39973212549357773,0.5059928462357669,0.03282846872714916,10.247328294057349,0.7322932775777443,0.07321068925526877,5.1677981335400425,0.7706659942825321,0.026874221872889733,389.1368494678549,0.36980034592289474,0.36761185037036975
2.4999999999999998e-6,0.000316,2.1928507395956846e-14,0.122522401069479,0.122522401069479,true,Success,0.9128866903825898,0.4017458698396566,0.5111408205429332,0.0331619490391151,109.98641532492395,0.5015560218597479,0.2655832034186993,63.68012383121399,0.5594598418871856,0.22020474613552032,3489.4023962557944,0.174316261737487,0.5301611593554552
2.4999999999999998e-6,0.001,1.6212254035363792e-15,0.12457361140661621,0.12457361140661621,true,Success,0.8431258335441185,0.37256009154893155,0.470565741995187,0.030533126500871772,1017.757402872536,0.2582841793528806,0.41567556289669844,599.5955224386221,0.30477273567134205,0.3780694867074014,24435.07379785894,0.0551584685649307,0.5799976528593609
