m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
2.4999999999999998e-5,1.0e-6,1.7071819144100403e-10,0.11906524188279574,true,true,Success,1,1,0
2.4999999999999998e-5,3.16e-6,1.081499202378856e-10,0.11997116076694371,true,true,Success,1,1,0
2.4999999999999998e-5,1.0e-5,3.2640114889889005e-11,0.11916535438294855,true,true,Success,1,1,0
2.4999999999999998e-5,3.16e-5,6.163642402897572e-12,0.12099356120107736,true,true,Success,1,1,0
2.4999999999999998e-5,0.0001,9.20962678144906e-13,0.12008010492207417,true,true,Success,1,1,0
2.4999999999999998e-5,0.000316,1.1040702628076557e-13,0.11985145457308452,true,true,Success,1,1,0
2.4999999999999998e-5,0.001,6.063463751333047e-15,0.11964984548063302,true,true,Success,1,1,0
2.4999999999999998e-5,0.00316,5.430867261300149e-16,0.12243173117520881,true,true,Success,1,1,0
2.4999999999999998e-5,0.01,5.483332844547664e-17,0.11999407019691215,true,true,Success,1,1,0
