m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
6.5e-5,1.0e-6,3.168514678470572e-11,0.11943223348848138,true,true,Success,1,1,0
6.5e-5,3.16e-6,3.012261932546406e-11,0.11993128846455847,true,true,Success,1,1,0
6.5e-5,1.0e-5,2.0809363466208132e-11,0.1198731870805268,true,true,Success,1,1,0
6.5e-5,3.16e-5,7.02852796687273e-12,0.11950852255089166,true,true,Success,1,1,0
6.5e-5,0.0001,1.3764801427515951e-12,0.11925727025225043,true,true,Success,1,1,0
6.5e-5,0.000316,1.6733836220217715e-13,0.11998590551229324,true,true,Success,1,1,0
6.5e-5,0.001,1.0582660086120257e-14,0.12116462600087081,true,true,Success,1,1,0
6.5e-5,0.00316,1.1002498405578117e-15,0.12165539896410726,true,true,Success,1,1,0
6.5e-5,0.01,1.160266098226955e-16,0.11998450818249205,true,true,Success,1,1,0
