m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
5.986e-5,1.0e-6,3.692183221666017e-11,0.11936802932692007,true,true,Success,1,1,5
5.986e-5,1.778e-6,3.6391129173460494e-11,0.11968536000263744,true,true,Success,1,1,0
5.986e-5,3.162e-6,3.465416171578273e-11,0.11992869739461974,true,true,Success,1,1,0
5.986e-5,5.623e-6,3.017393477973599e-11,0.11950308826192074,true,true,Success,1,1,0
5.986e-5,1.0e-5,2.255498156851299e-11,0.1199461823955897,true,true,Success,1,1,0
5.986e-5,1.778e-5,1.37816452146408e-11,0.11974239025801914,true,true,Success,1,1,0
5.986e-5,3.162e-5,7.094300802379823e-12,0.11955281217887828,true,true,Success,1,1,0
5.986e-5,5.623e-5,3.2305649536550635e-12,0.11961081996108741,true,true,Success,1,1,0
5.986e-5,0.0001,1.344749171191207e-12,0.11963328176444801,true,true,Success,1,1,0
5.986e-5,0.0001778,5.115357586116611e-13,0.11943960610485345,true,true,Success,1,1,0
5.986e-5,0.0003162,1.6270626680259347e-13,0.11996329366735689,true,true,Success,1,1,0
5.986e-5,0.0005623,3.694428510827269e-14,0.12002346285435911,true,true,Success,1,1,0
5.986e-5,0.001,1.010159436715363e-14,0.12002950730104783,true,true,Success,1,1,0
5.986e-5,0.001778,3.2135315672185136e-15,0.11996686903389646,true,true,Success,1,1,0
5.986e-5,0.003162,1.0348510385091525e-15,0.11893333925317011,true,true,Success,1,1,0
5.986e-5,0.005623,3.3581280333699214e-16,0.12043597355463535,true,true,Success,1,1,0
5.986e-5,0.01,1.0895983024837981e-16,0.11882736882709154,true,true,Success,1,1,0
5.986e-5,0.01778,3.5520737487171265e-17,0.12001921721748872,true,true,Success,1,1,0
5.986e-5,0.03162,1.1594788913255938e-17,0.12067171261698462,true,true,Success,1,1,0
5.986e-5,0.05623,3.79544302965656e-18,0.12098491388689145,true,true,Success,1,1,0
