m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
1.057e-5,1.0e-8,NaN,NaN,false,false,NoRoot,0,0,9
1.057e-5,1.778e-8,NaN,NaN,false,false,NoRoot,0,0,10
1.057e-5,3.162e-8,8.428710664988425e-10,0.11998791687757379,true,true,Success,1,1,8
1.057e-5,5.623e-8,8.410149405677447e-10,0.11996378525430657,true,true,Success,1,1,0
1.057e-5,1.0e-7,8.391627119341768e-10,0.12046803130908981,true,true,Success,1,1,0
1.057e-5,1.778e-7,8.197770003038459e-10,0.11998184664665214,true,true,Success,1,1,0
1.057e-5,3.162e-7,7.737735234808558e-10,0.11992097446471967,true,true,Success,1,1,0
1.057e-5,5.623e-7,6.640146096723744e-10,0.11942164591513231,true,true,Success,1,1,0
1.057e-5,1.0e-6,4.855767084084406e-10,0.11992994320032042,true,true,Success,1,1,0
1.057e-5,1.778e-6,2.8944951283454944e-10,0.11967093240790513,true,true,Success,1,1,0
1.057e-5,3.162e-6,1.4582190469584248e-10,0.11950973649559167,true,true,Success,1,1,0
1.057e-5,5.623e-6,6.541812876633468e-11,0.1195450028093271,true,true,Success,1,1,0
1.057e-5,1.0e-5,2.7177155756383625e-11,0.11967024806844555,true,true,Success,1,1,0
1.057e-5,1.778e-5,1.0728354469088354e-11,0.11981978920455393,true,true,Success,1,1,0
1.057e-5,3.162e-5,4.080999303117551e-12,0.11976457213485968,true,true,Success,1,1,0
1.057e-5,5.623e-5,1.510837258581573e-12,0.11987998897266605,true,true,Success,1,1,0
1.057e-5,0.0001,5.465001725370484e-13,0.1197952463657381,true,true,Success,1,1,0
1.057e-5,0.0001778,1.9263052544777397e-13,0.11948003550981126,true,true,Success,1,1,0
1.057e-5,0.0003162,6.445762661730505e-14,0.11933036721680008,true,true,Success,1,1,0
1.057e-5,0.0005623,1.7911839677464086e-14,0.12082480633780872,true,true,Success,1,1,0
1.057e-5,0.001,3.6815938010011616e-15,0.12108442878573787,true,true,Success,1,1,0
1.057e-5,0.001778,9.173182292864795e-16,0.11987086027892381,true,true,Success,1,1,0
1.057e-5,0.003162,2.7300701291192854e-16,0.11993205440047884,true,true,Success,1,1,0
1.057e-5,0.005623,8.447550097084026e-17,0.12001252551012329,true,true,Success,1,1,0
1.057e-5,0.01,2.676101473876181e-17,0.12046084261325646,true,true,Success,1,1,0
1.057e-5,0.01778,8.598524719207171e-18,0.12013261422581516,true,true,Success,1,1,0
1.057e-5,0.03162,2.783241440314151e-18,0.12000518919619013,true,true,Success,1,1,0
1.057e-5,0.05623,9.047260265880957e-19,0.11997444001145594,true,true,Success,1,1,0
