m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
0.0001893,1.0e-6,4.146764413411433e-12,0.1199789344541054,true,true,Success,1,1,1
0.0001893,1.778e-6,4.144313521932743e-12,0.11998758264372061,true,true,Success,1,1,0
0.0001893,3.162e-6,4.141863115410026e-12,0.12017112436126198,true,true,Success,1,1,0
0.0001893,5.623e-6,4.139414391673444e-12,0.12091028381561926,true,true,Success,1,1,0
0.0001893,1.0e-5,4.024279014212586e-12,0.11997701498223809,true,true,Success,1,1,0
0.0001893,1.778e-5,3.787604384422452e-12,0.11991948866344754,true,true,Success,1,1,0
0.0001893,3.162e-5,3.227097184261691e-12,0.11936468373041038,true,true,Success,1,1,0
0.0001893,5.623e-5,2.3326482819506634e-12,0.11992133570253934,true,true,Success,1,1,0
0.0001893,0.0001,1.3557147392238692e-12,0.1196416498305515,true,true,Success,1,1,0
0.0001893,0.0001778,6.2413220368716e-13,0.11897686604738106,true,true,Success,1,1,0
0.0001893,0.0003162,1.980505627948879e-13,0.11990605487652009,true,true,Success,1,1,0
0.0001893,0.0005623,4.3071780943634596e-14,0.11986738195384947,true,true,Success,1,1,0
0.0001893,0.001,1.5992328325217974e-14,0.11992418024357945,true,true,Success,1,1,0
0.0001893,0.001778,6.07955365634743e-15,0.12045570751601124,true,true,Success,1,1,0
0.0001893,0.003162,2.1431846765453925e-15,0.11905504645695944,true,true,Success,1,1,0
0.0001893,0.005623,7.328738926708315e-16,0.11978388834057115,true,true,Success,1,1,0
0.0001893,0.01,2.4686016529772607e-16,0.11995160396087833,true,true,Success,1,1,0
0.0001893,0.01778,8.26317142608145e-17,0.11998676592586777,true,true,Success,1,1,0
0.0001893,0.03162,2.7545794391616345e-17,0.11999061884374838,true,true,Success,1,1,0
0.0001893,0.05623,9.154530813729179e-18,0.11893291179268888,true,true,Success,1,1,0
