m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
0.0003,1.0e-6,1.7047307878451128e-12,0.11999122497883649,true,true,Success,1,1,1
0.0003,1.778e-6,1.7044991584294553e-12,0.1199967519500788,true,true,Success,1,1,0
0.0003,3.162e-6,1.7042674693548507e-12,0.12004779728807294,true,true,Success,1,1,0
0.0003,5.623e-6,1.704035833907264e-12,0.12024800745298785,true,true,Success,1,1,0
0.0003,1.0e-5,1.7038042061370445e-12,0.12091898190504542,true,true,Success,1,1,0
0.0003,1.778e-5,1.661420088679461e-12,0.11998214693728747,true,true,Success,1,1,0
0.0003,3.162e-5,1.576707222163269e-12,0.11994224166379362,true,true,Success,1,1,0
0.0003,5.623e-5,1.3663192665828744e-12,0.11947727915979672,true,true,Success,1,1,0
0.0003,0.0001,9.999761162465927e-13,0.1199224956691587,true,true,Success,1,1,0
0.0003,0.0001778,5.526853587743498e-13,0.11930410754336185,true,true,Success,1,1,0
0.0003,0.0003162,1.9080587604391936e-13,0.11995126363770155,true,true,Success,1,1,0
0.0003,0.0005623,4.061872006207509e-14,0.12107196059708437,true,true,Success,1,1,0
0.0003,0.001,1.597118649983384e-14,0.12034103088788027,true,true,Success,1,1,0
0.0003,0.001778,7.0334282171246855e-15,0.11999807815841493,true,true,Success,1,1,0
0.0003,0.003162,2.6908890496504475e-15,0.11999558188611348,true,true,Success,1,1,0
0.0003,0.005623,9.56708205605832e-16,0.11921027901532993,true,true,Success,1,1,0
0.0003,0.01,3.3088701893086094e-16,0.11984983049460869,true,true,Success,1,1,0
0.0003,0.01778,1.127876342868943e-16,0.11994511932380153,true,true,Success,1,1,0
0.0003,0.03162,3.8121486612246506e-17,0.12001193802007284,true,true,Success,1,1,0
0.0003,0.05623,1.281914358367725e-17,0.11999593976339651,true,true,Success,1,1,0
