2.342540002327561057e-27 1.000000000000000391e+13 -1.404910803542303232e+18 1.000000000000000391e+13 1.404910803542303329e+05
2.347940281256347663e-27 9.988493345172011719e+12 -1.400066634734348288e+18 9.988493345172011719e+12 1.401679498951738642e+05
2.353353009497626046e-27 9.976999930654556641e+12 -1.395239168745804288e+18 9.976999930654556641e+12 1.398455626384140633e+05
2.358778215750905675e-27 9.965519741212462891e+12 -1.390428347984917760e+18 9.965519741212462891e+12 1.395239168745804054e+05
2.364215928781864930e-27 9.954052761628097656e+12 -1.385634115058512128e+18 9.954052761628097656e+12 1.392030108982340025e+05
2.369666177422494951e-27 9.942598976701330078e+12 -1.380856412771305728e+18 9.942598976701330078e+12 1.388828430078585225e+05
2.375128990571246721e-27 9.931158371249527344e+12 -1.376095184125226496e+18 9.931158371249527344e+12 1.385634115058511379e+05
2.380604397193198594e-27 9.919730930107519531e+12 -1.371350372318733568e+18 9.919730930107519531e+12 1.382447146985135041e+05
2.386092426320201936e-27 9.908316638127589844e+12 -1.366621920746139904e+18 9.908316638127589844e+12 1.379267508960427658e+05
2.391593107051028213e-27 9.896915480179453125e+12 -1.361909772996934400e+18 9.896915480179453125e+12 1.376095184125226224e+05
2.397106468551538662e-27 9.885527441150230469e+12 -1.357213872855112704e+18 9.885527441150230469e+12 1.372930155659144220e+05
2.402632540054829228e-27 9.874152505944435547e+12 -1.352534164298504192e+18 9.874152505944435547e+12 1.369772406780482561e+05
2.408171350861382303e-27 9.862790659483951172e+12 -1.347870591498103808e+18 9.862790659483951172e+12 1.366621920746139367e+05
2.413722930339231741e-27 9.851441886708009766e+12 -1.343223098817406720e+18 9.851441886708009766e+12 1.363478680851522076e+05
2.419287307924115683e-27 9.840106172573138672e+12 -1.338591630811729664e+18 9.840106172573138672e+12 1.360342670430449944e+05
2.424864513119622200e-27 9.828783502053316406e+12 -1.333976132227621376e+18 9.828783502053316406e+12 1.357213872855112131e+05
2.430454575497361483e-27 9.817473860139599609e+12 -1.329376548002060288e+18 9.817473860139599609e+12 1.354092271535885229e+05
2.436057524697116873e-27 9.806177231840453125e+12 -1.324792823261940480e+18 9.806177231840453125e+12 1.350977849921339075e+05
2.441673390426992295e-27 9.794893602181529297e+12 -1.320224903323331328e+18 9.794893602181529297e+12 1.347870591498093854e+05
2.447302202463584814e-27 9.783622956205845703e+12 -1.315672733690911232e+18 9.783622956205845703e+12 1.344770479790788959e+05
2.452943990652136734e-27 9.772365278973419922e+12 -1.311136260057173504e+18 9.772365278973419922e+12 1.341677498361899052e+05
2.458598784906684829e-27 9.761120555561599609e+12 -1.306615428301923328e+18 9.761120555561599609e+12 1.338591630811743671e+05
2.464266615210235411e-27 9.749888771064875000e+12 -1.302110184491559168e+18 9.749888771064875000e+12 1.335512860778353061e+05
2.469947511614913555e-27 9.738669910594845703e+12 -1.297620474878428928e+18 9.738669910594845703e+12 1.332441171937379404e+05
2.475641504242116642e-27 9.727463959280349609e+12 -1.293146245900246784e+18 9.727463959280349609e+12 1.329376548002050549e+05
2.481348623282689416e-27 9.716270902267269531e+12 -1.288687444179383296e+18 9.716270902267269531e+12 1.326318972723034094e+05
2.487068898997075734e-27 9.705090724718468750e+12 -1.284244016522212608e+18 9.705090724718468750e+12 1.323268429888343089e+05
2.492802361715470302e-27 9.693923411814103516e+12 -1.279815909918609664e+18 9.693923411814103516e+12 1.320224903323335748e+05
2.498549041837997689e-27 9.682768948751230469e+12 -1.275403071541168640e+18 9.682768948751230469e+12 1.317188376890533254e+05
2.504308969834862633e-27 9.671627320743984375e+12 -1.271005448744652288e+18 9.671627320743984375e+12 1.314158834489583096e+05
2.510082176246506447e-27 9.660498513023507812e+12 -1.266622989065343744e+18 9.660498513023507812e+12 1.311136260057163890e+05
2.515868691683782802e-27 9.649382510837939453e+12 -1.262255640220421120e+18 9.649382510837939453e+12 1.308120637566899240e+05
2.521668546828113054e-27 9.638279299452392578e+12 -1.257903350107337472e+18 9.638279299452392578e+12 1.305111951029273914e+05
2.527481772431640860e-27 9.627188864148937500e+12 -1.253566066803196416e+18 9.627188864148937500e+12 1.302110184491549444e+05
2.533308399317410825e-27 9.616111190226605469e+12 -1.249243738564144128e+18 9.616111190226605469e+12 1.299115322037686419e+05
2.539148458379524913e-27 9.605046263001220703e+12 -1.244936313824689664e+18 9.605046263001220703e+12 1.296127347788217012e+05
2.545001980583296338e-27 9.593994067805699219e+12 -1.240643741197221888e+18 9.593994067805699219e+12 1.293146245900251233e+05
