x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.00016203658720782225,0.00013780373898540258,4.314560404423578e-19,7.001656682961219,4.0261204450530326e-9,4.5815598005146755e-9,-15.519169721337384,-31.03833944267477,2.0130596729120886e-9,2.0130596729120886e-9,5.496144385265283e-16,6.758968348311114e-29,3.529245911851715e-38,6.758968344781867e-29
0.00016203674924449035,0.00013780388762373141,4.3145513491443306e-19,7.001634151722041,4.0261204690436344e-9,4.5815598005146755e-9,-15.519169697502418,-31.038339395004837,2.0130596849073527e-9,2.0130596849073527e-9,5.496144549015407e-16,6.75893869953459e-29,3.5292386141948516e-38,6.758938696005352e-29
0.0001620462504837076,0.0001378126032549959,4.3140204296549786e-19,7.000313168183141,4.0261218757641945e-9,4.581559800515587e-9,-15.519168299908213,-31.038336599816425,2.013060388266686e-9,2.013060388266686e-9,5.4961541507288225e-16,6.757200482719528e-29,3.5288107454497255e-38,6.757200479190718e-29
0.00016214129352274707,0.0001378997900441228,4.30871482665979e-19,6.987117032533119,4.026135947459317e-9,4.581559800524718e-9,-15.519154319532774,-31.038308639065548,2.0130674241046328e-9,2.0130674241046328e-9,5.496250199244002e-16,6.739842892615892e-29,3.5245349204575077e-38,6.739842889091357e-29
0.00016309479525897602,0.0001387747190992132,4.256016125248037e-19,6.856515204951012,4.0262771143570254e-9,4.581559800616634e-9,-15.51901407145512,-31.03802814291024,2.0131380074571318e-9,2.0131380074571318e-9,5.497213829879125e-16,6.568700332152242e-29,3.4820614463704993e-38,6.56870032867018e-29
0.0001729437162624663,0.00014785346705127345,3.762669671030432e-19,5.67559762407255,4.0277348247525125e-9,4.5815598016047275e-9,-15.517566136368435,-31.03513227273687,2.013866861653899e-9,2.013866861653899e-9,5.507172328832337e-16,5.076721025437111e-29,3.084175244494451e-38,5.076721022352937e-29
0.00022564496949466925,0.00019777250834573446,2.1433508797581293e-19,2.3852243008609224,4.035535335653313e-9,4.581559808150641e-9,-15.509826830063686,-31.01965366012737,2.017767106846316e-9,2.017767106846316e-9,5.560707831587545e-16,1.5580947039595098e-29,1.773504177882696e-38,1.5580947021860057e-29
0.00036610823471499535,0.00034405377184113103,7.488249633746925e-20,0.46024487166976075,4.0567800816250146e-9,4.581559838166188e-9,-15.488824656319904,-30.97764931263981,2.0283888741327577e-9,2.0283888741327577e-9,5.708622725994449e-16,1.6605309911930152e-30,6.339050197006836e-39,1.6605309848539648e-30
0.0005940094291767344,0.0006611381107360149,2.272349920714547e-20,0.06681232627240044,4.097036847880031e-9,4.581559958139766e-9,-15.44933027945621,-30.89866055891242,2.0485102069897445e-9,2.0485102069897445e-9,5.997500091516898e-16,1.2115242015499203e-31,2.0470839396067445e-39,1.2115241810790808e-31
0.0009637783816186247,0.0013317338132060696,6.213612700148254e-21,0.008613529401733806,4.16904491278595e-9,4.5815604508210725e-9,-15.379591143216652,-30.759182286433305,2.084611158404062e-9,2.084611158404062e-9,6.544006924126362e-16,7.66416579512317e-33,6.395280173428062e-40,7.664165155595153e-33
0.0015637273134919394,0.002322366574808459,2.1891478460124142e-21,0.0017433659837036977,4.268601363289655e-9,4.581561779730463e-9,-15.285230327927422,-30.570460655854845,2.134310405770588e-9,2.134310405770588e-9,7.362996485009684e-16,9.18267169637676e-34,2.438881246808606e-40,9.182669257495514e-34
0.0032745895817267385,0.005569678588669493,4.522394625862752e-22,0.0001558750109081067,4.577692657869059e-9,4.581570846662406e-9,-15.005598619783612,-30.011197239567224,2.288818151307002e-9,2.288818151307002e-9,1.0443262833874995e-15,4.1690496006816193e-35,6.187050711704592e-41,4.1690434136309077e-35
0.007056360600622096,0.015231370445765923,8.997722310600457e-23,1.3530475044784804e-5,5.54275490220985e-9,4.581633964048291e-9,-14.239192301026634,-28.478384602053268,2.7744212532385014e-9,2.7744212532385014e-9,2.723510258255657e-15,2.7988229928386166e-36,2.0935364846169535e-41,2.7988020574737703e-36
0.010540438066713754,0.030342016836963488,4.014540909138833e-23,4.029219836359104e-6,7.372807377713829e-9,4.581791452219086e-9,-13.099013278057868,-26.198026556115735,3.685078872935085e-9,3.685078872935085e-9,1.1302818710704133e-14,1.4600846688437063e-36,1.9680723631688114e-41,1.4600649881200746e-36
0.011827348591715699,0.04111278248932908,3.188686926049375e-23,2.8521105218296045e-6,8.902326186182339e-9,4.581910136215869e-9,-12.34394396815605,-24.6878879363121,4.451876003421575e-9,4.451876003421575e-9,2.902499097337943e-14,1.79575195776578e-36,2.529478558347571e-41,1.7957266629801963e-36
0.012993550709887721,0.06261886942933274,2.6405279288454658e-23,2.150887571550794e-6,1.2337981592699129e-8,4.582108972646084e-9,-11.037482828537826,-22.07496565707565,6.16671242924912e-9,6.16671242924912e-9,1.4805670882319586e-13,3.965741155096709e-36,4.703546261999769e-41,3.965694119634089e-36
0.013418287148238738,0.0833541460055651,2.476000849446805e-23,1.9530602574609436e-6,1.5896593642300607e-8,4.582247285286667e-9,-10.021212077443266,-20.042424154886533,7.949189782490529e-9,7.949189782490529e-9,5.252862479355128e-13,8.658886979368773e-36,8.098257217545823e-41,8.658805996796597e-36
0.013660706457048914,0.11347471220301134,2.3888988118288768e-23,1.8509323618734465e-6,2.1238428061759884e-8,4.582385147388909e-9,-8.858763401937301,-17.717526803874602,1.0615395384480439e-8,1.0615395384480439e-8,2.226728433669261e-12,2.2550177688770503e-35,1.5291548039366912e-40,2.255002477329011e-35
0.013775828950588234,0.15227203715416288,2.3491360282919203e-23,1.8049213118925603e-6,2.8221262034420093e-8,4.582501527802038e-9,-7.715427951929916,-15.430855903859833,1.4097287183608573e-8,1.4097287183608573e-8,9.163066939116077e-12,5.878714044305881e-35,2.8422775541850858e-40,5.878685621530339e-35
0.01383216040092479,0.20201768182233953,2.3300401649342487e-23,1.78296231554993e-6,3.720705004390605e-8,4.5826003854177815e-9,-6.600225260102679,-13.200450520205358,1.8559492457109627e-8,1.8559492457109627e-8,3.605897363167967e-11,1.4752512780075193e-34,5.12902585581593e-40,1.4752461489816635e-34
0.013861092435020072,0.26518905430788675,2.3203228288260575e-23,1.77182245258665e-6,4.8596125978122166e-8,4.582686602913359e-9,-5.519510589641303,-11.039021179282607,2.415135539945105e-8,2.415135539945105e-8,1.3392862174741853e-10,3.466294075613187e-34,8.923293740825855e-40,3.466285152319446e-34
0.013876875352911582,0.34328166561870105,2.3150474603832532e-23,1.765784569850735e-6,6.263430193693613e-8,4.582764663596407e-9,-4.49201494975246,-8.98402989950492,3.084577686389284e-8,3.084577686389284e-8,4.5571216085220596e-10,7.3624882466549445e-34,1.4790034421336795e-39,7.3624734566205235e-34
0.01388636510162175,0.43747188158514133,2.3118842109388128e-23,1.7621673917776292e-6,7.959288272886865e-8,4.582840774282655e-9,-3.5291523875284434,-7.058304775056887,3.8392434849873753e-8,3.8392434849873753e-8,1.3893583992939136e-9,1.3734352054602841e-33,2.3152460517212685e-39,1.3734328902142323e-33
0.0138928580424804,0.5482602565159232,2.309723631366417e-23,1.7596981883706259e-6,9.974805264135728e-8,4.582923597389714e-9,-2.641165512991462,-5.282331025982924,4.614983877529784e-8,4.614983877529784e-8,3.713757195811807e-9,2.1856400168830508e-33,3.3902676910707864e-39,2.1856366266153597e-33
0.013898231582118994,0.6803852142338628,2.3079378314303624e-23,1.7576581703044222e-6,1.2414325103436824e-7,4.583031537711597e-9,-1.8085764979101082,-3.6171529958202164,5.3280340955053604e-8,5.3280340955053604e-8,8.78171941607068e-9,2.8873084307809066e-33,4.646147656292941e-39,2.8873037846332503e-33
0.01390360720015846,0.8344975505315985,2.3061534122142536e-23,1.7556205172311495e-6,1.5256942698626375e-7,4.583199678435814e-9,-1.0450594017437311,-2.0901188034874623,5.8376728748600896e-8,5.8376728748600896e-8,1.7893889565578595e-8,2.8928555564249037e-33,5.88102449712509e-39,2.8928496754004068e-33
