x1,x2,x3,x4,x5,x6,x7
-8.305,-2.1894311764819543e-43,-2.1894309708548063e-43,9.260623470717353e-35,-3.758745734241948e-48,-3.758745500584282e-48,1.0523005768291115e-39
-8.1990625,-2.1894158662575066e-43,-2.1894157160675133e-43,6.763955978024394e-35,-3.7587283407399684e-48,-3.75872817006679e-48,7.686436630010108e-40
-8.093125,-2.1893988448934983e-43,-2.1893988020222695e-43,1.9307485026481087e-35,-3.7587090027319906e-48,-3.758708954010771e-48,2.1942086673652696e-40
-7.9871875,-2.1893799211217876e-43,-2.189379822179792e-43,4.4559513467086953e-35,-3.7586875027392755e-48,-3.758687390293676e-48,5.064099588363495e-40
-7.88125,-2.1893588822889613e-43,-2.1893586553869175e-43,1.0218759596204669e-34,-3.758663598937612e-48,-3.758663341048855e-48,1.161427710132411e-39
-7.7753125,-2.1893354919639073e-43,-2.1893351559034934e-43,1.5134815549672248e-34,-3.758637022426678e-48,-3.75863664044094e-48,1.7203108281094208e-39
-7.669375,-2.1893094872774113e-43,-2.189309066306512e-43,1.8958843851902208e-34,-3.758607474191911e-48,-3.7586069956477864e-48,2.1551711414790893e-39
-7.5634375,-2.189280575963651e-43,-2.1892801002675246e-43,2.1423448972076463e-34,-3.758574621723828e-48,-3.758574080914266e-48,2.4355897421372893e-39
-7.4575,-2.1892484330700874e-43,-2.1892479392454693e-43,2.2239883662393433e-34,-3.7585380952559166e-48,-3.7585375337717075e-48,2.5287000750470222e-39
-7.3515625,-2.1892126972984517e-43,-2.1892122287990177e-43,2.1099338762500317e-34,-3.758497483577478e-48,-3.75849695081972e-48,2.399327641126724e-39
-7.245625,-2.1891729669352665e-43,-2.189172574475367e-43,1.7674822562699428e-34,-3.7584523293728614e-48,-3.758451883019827e-48,2.0101953586349767e-39
-7.1396875,-2.1891287953256645e-43,-2.1891285372269613e-43,1.162373223371386e-34,-3.758402124032705e-48,-3.7584018304444043e-48,1.3222041622403457e-39
-7.03375,-2.189079685838937e-43,-2.189079628303752e-43,2.5911543800701056e-35,-3.7583463018765025e-48,-3.758346236418298e-48,2.9479754589043312e-40
-6.9278125,-2.1890250862683897e-43,-2.1890249058580363e-43,8.124960004114061e-35,-3.7582842337184457e-48,-3.758284028450532e-48,9.244444983773211e-40
-6.821875,-2.1889643826014713e-43,-2.188963970033993e-43,1.8580387422537862e-34,-3.7582152197004275e-48,-3.758214750190596e-48,2.114484300984954e-39
-6.7159375,-2.1888968920887767e-43,-2.1888962528949598e-43,2.87867303574366e-34,-3.7581384813069146e-48,-3.758137753723484e-48,3.276744467249417e-39
