sin2_2theta,theta,y,omega_h2,converged,plateau_ok,retcode,branch
1.0e-14,5.0000000000000084e-8,0.0008872191289519102,0.11473315188516726,true,true,Success,1
1.0e-13,1.581138830084216e-7,0.000252791131077103,0.11948301165712946,true,true,Success,1
1.0e-12,5.000000000000833e-7,6.967625413719127e-5,0.11973596278330129,true,true,Success,1
1.0e-11,1.581138830086825e-6,1.8229089401908888e-5,0.11988966883125227,true,true,Success,1
